storeid,wide_area,basic_area,storename,category,category_top,rating,address,url,hon0_index_final,summary_bullets,summary_bullets_json
1_95_1,경기도,일산서구,솥내음 일산킨텍스점,한식,한식,3.0,경기 고양시 일산서구 킨텍스로 171 2층,https://map.naver.com/p/entry/place/2017586094?placePath=%2Fhome,75.1,"- 솥밥은 처음인데 아이도 너무 좋아하고 어른들도 만족하는 식사였고 정갈하고 청결한 매장에서 즐기는 가족식사 시간이 좋아 파주맛집으로 추천하고 싶다.
- 스타필드 마켓에 새로 생긴 솥밥집은 왠만한 지역 맛집 보다 훨씬 맛있고 아이들하고도 방문하기 좋아 킨텍스맛집 찾으시면 솥내음으로 오세요 킨텍스 스타필드에서 솥밥을 먹고 왔는데 너무 맛있다.
- 새로 오픈해서 그런지 매장 자체가 깔끔했고 메뉴도 다양해서 가족들이랑 외식하기도 좋을 거 같아요.
- 킨텍스 스타필드 마켓 맛집인 솥내음은 가성비도 좋고 맛도 좋아 가족이 쇼핑하고 가기 좋은 곳이다.
- 일산 킨텍스 맛집은 1인상으로 정갈하고 깔끔하게 나와 좋고 솥밥에 재료가 듬뿍 들어가 있어 좋다.
- 스타필드 마켓 킨텍스 점이 생겨서 쇼핑 후 식사할 곳을 찾다가 들린 곳은 훈제 오리 솥밥, 양념 꼬막솥밥 둘 다 굿 초이스였다.","[""솥밥은 처음인데 아이도 너무 좋아하고 어른들도 만족하는 식사였고 정갈하고 청결한 매장에서 즐기는 가족식사 시간이 좋아 파주맛집으로 추천하고 싶다."", ""스타필드 마켓에 새로 생긴 솥밥집은 왠만한 지역 맛집 보다 훨씬 맛있고 아이들하고도 방문하기 좋아 킨텍스맛집 찾으시면 솥내음으로 오세요 킨텍스 스타필드에서 솥밥을 먹고 왔는데 너무 맛있다."", ""새로 오픈해서 그런지 매장 자체가 깔끔했고 메뉴도 다양해서 가족들이랑 외식하기도 좋을 거 같아요."", ""킨텍스 스타필드 마켓 맛집인 솥내음은 가성비도 좋고 맛도 좋아 가족이 쇼핑하고 가기 좋은 곳이다."", ""일산 킨텍스 맛집은 1인상으로 정갈하고 깔끔하게 나와 좋고 솥밥에 재료가 듬뿍 들어가 있어 좋다."", ""스타필드 마켓 킨텍스 점이 생겨서 쇼핑 후 식사할 곳을 찾다가 들린 곳은 훈제 오리 솥밥, 양념 꼬막솥밥 둘 다 굿 초이스였다.""]"
1_95_2,경기도,일산서구,스시온더레일 일산가로수길 본점,"초밥,롤",일식,3.0,경기 고양시 일산서구 주엽로 80 E동 202호,https://map.naver.com/p/entry/place/1967937597?placePath=%2Fhome,75.4,"- 회전초밥을 좋아해서 가보고 싶었는데 가격도 착하고 맛도 좋고 종류가 많아 아이들과 같이 와도 좋을 것 같다.
- 단골 회전초밥 스시온더레일은 다양한 네타를 부담 없이 맛볼 수 있고 영수증 리뷰 이벤트 덕분에 만족도가 더 높았다.
- 일산 호수공원 근처 회전초밥 집 중 초밥 가성비가 좋고 원하는 초밥을 바로바로 만들어 주는 스시온더레일은 영수증 리뷰 이벤트 덕분에 만족도가 더 높았다.
- 일산 호수공원 근처 회전초밥 집 중에 초밥 가성비가 좋고 원하는 초밥을 바로바로 만들어 줘서 좋아요.
- 호수공원가족나들이 후 분위기 좋게 저녁 식사하기 좋은 곳으로 아이가 스시온더레일을 무척 좋아하고 키즈세트도 있어서 아이와 함께 오기 좋다.","[""회전초밥을 좋아해서 가보고 싶었는데 가격도 착하고 맛도 좋고 종류가 많아 아이들과 같이 와도 좋을 것 같다."", ""단골 회전초밥 스시온더레일은 다양한 네타를 부담 없이 맛볼 수 있고 영수증 리뷰 이벤트 덕분에 만족도가 더 높았다."", ""일산 호수공원 근처 회전초밥 집 중 초밥 가성비가 좋고 원하는 초밥을 바로바로 만들어 주는 스시온더레일은 영수증 리뷰 이벤트 덕분에 만족도가 더 높았다."", ""일산 호수공원 근처 회전초밥 집 중에 초밥 가성비가 좋고 원하는 초밥을 바로바로 만들어 줘서 좋아요."", ""호수공원가족나들이 후 분위기 좋게 저녁 식사하기 좋은 곳으로 아이가 스시온더레일을 무척 좋아하고 키즈세트도 있어서 아이와 함께 오기 좋다.""]"
1_95_3,경기도,일산서구,샤브뜰 일산덕이점,샤브샤브,일식,3.0,경기 고양시 일산서구 하이파크2로 79-1 가동 2층 203호,https://map.naver.com/p/entry/place/1162484387?placePath=%2Fhome,66.7,"- 샤브뜰 일산덕이점에서 소고기 샤브 월남쌈을 먹고 왔는데 신선한 고기와 다양한 채소를 합리적인 가격에 먹을 수 있어 만족스러웠다.
- 일산 탄현역 근처에 위치한 샤브샤브 맛있는 덕이동 맛집은 직원들도 친절하고 맛도 좋아 자주 방문한다.
- 샤브뜰은 모든 재료가 신선하고 셀프바에서 먹을 수 있는 음식이 다양해서 덕이동 맛집으로 추천한다.
- 친구가 밥 사 준다 해서 들어갔던 곳인데 디저트류와 샐러드가 접시별로 다 세팅되어 있어서 전체적으로 분위기가 호텔식 분위기 같은 느낌이 들어서 너무 맘에 들었다.
- 고기는 기본만 시켜도 야채가 무한리필이고 샐러드바도 있어서 충분하고 칼국수와 죽까지 먹으면 배 터짐. 월남쌈까지 있고 커피와 아이스크림으로 아포카토 해먹으면 극락이다.
- 샤브샤브와 월남쌈을 같이 먹을 수 있는 덕이동 맛집 샤브올데이가 쾌적하고 샤브샤브에 집중한 느낌이라 더 자주 올 것 같다.","[""샤브뜰 일산덕이점에서 소고기 샤브 월남쌈을 먹고 왔는데 신선한 고기와 다양한 채소를 합리적인 가격에 먹을 수 있어 만족스러웠다."", ""일산 탄현역 근처에 위치한 샤브샤브 맛있는 덕이동 맛집은 직원들도 친절하고 맛도 좋아 자주 방문한다."", ""샤브뜰은 모든 재료가 신선하고 셀프바에서 먹을 수 있는 음식이 다양해서 덕이동 맛집으로 추천한다."", ""친구가 밥 사 준다 해서 들어갔던 곳인데 디저트류와 샐러드가 접시별로 다 세팅되어 있어서 전체적으로 분위기가 호텔식 분위기 같은 느낌이 들어서 너무 맘에 들었다."", ""고기는 기본만 시켜도 야채가 무한리필이고 샐러드바도 있어서 충분하고 칼국수와 죽까지 먹으면 배 터짐. 월남쌈까지 있고 커피와 아이스크림으로 아포카토 해먹으면 극락이다."", ""샤브샤브와 월남쌈을 같이 먹을 수 있는 덕이동 맛집 샤브올데이가 쾌적하고 샤브샤브에 집중한 느낌이라 더 자주 올 것 같다.""]"
1_95_4,경기도,일산서구,아쿠아가든 일산,"카페,디저트",디저트,3.0,경기 고양시 일산서구 일중로 9 아쿠아가든 일산,https://map.naver.com/p/entry/place/1209562743?placePath=%2Fhome,75.9,"- 아쿠아가든 일산은 음료값으로 다양한 물고기를 볼 수 있고 물고기 밥주는 체험도 가능해서 아이들과 오기 좋은 곳이다.
- 아쿠아리움 구경하면서 애기도 잘 먹고 분위기도 편안하고 힐링되는 곳인 일산 아쿠아가든은 오픈한지 얼마 안되서 그런지 깨끗하고 화장실도 깨끗하여 아이들과 함께 시간보낼 곳으로 추천한다.
- 아쿠아가든 일산점은 실내에서 안전하게 놀 수 있어서 주말 나들이로 추천한다.
- 아쿠아가든 일산점은 아기와 관람하기 좋은 곳으로 아기가 물고기를 좋아해서 수족관에 자주 갔었는데 이번 주는 방학기간이라 붐빌 거 같아 물고기 카페 아쿠아가를 와봤다.
- 아쿠아가든 일산점 새로 생긴 이후로 아이가 너무 좋아해서 재방문했다.
- 아이들 데리고 방문한 일산 아쿠아가든은 입장료 포함에 아이들이 구경하고 즐길거리가 많아서 충분히 납득이 되는 곳이다.
- 아쿠아가든 일산점은 아이와 나들이 수영말고 편안한 쉼과 호기심을 유발할 수 있는 곳을 찾다 발길이 닿은 곳이다.","[""아쿠아가든 일산은 음료값으로 다양한 물고기를 볼 수 있고 물고기 밥주는 체험도 가능해서 아이들과 오기 좋은 곳이다."", ""아쿠아리움 구경하면서 애기도 잘 먹고 분위기도 편안하고 힐링되는 곳인 일산 아쿠아가든은 오픈한지 얼마 안되서 그런지 깨끗하고 화장실도 깨끗하여 아이들과 함께 시간보낼 곳으로 추천한다."", ""아쿠아가든 일산점은 실내에서 안전하게 놀 수 있어서 주말 나들이로 추천한다."", ""아쿠아가든 일산점은 아기와 관람하기 좋은 곳으로 아기가 물고기를 좋아해서 수족관에 자주 갔었는데 이번 주는 방학기간이라 붐빌 거 같아 물고기 카페 아쿠아가를 와봤다."", ""아쿠아가든 일산점 새로 생긴 이후로 아이가 너무 좋아해서 재방문했다."", ""아이들 데리고 방문한 일산 아쿠아가든은 입장료 포함에 아이들이 구경하고 즐길거리가 많아서 충분히 납득이 되는 곳이다."", ""아쿠아가든 일산점은 아이와 나들이 수영말고 편안한 쉼과 호기심을 유발할 수 있는 곳을 찾다 발길이 닿은 곳이다.""]"
1_95_5,경기도,일산서구,꾼돈숯불갈비 일산덕이점,"육류,고기요리",고기,3.0,경기 고양시 일산서구 덕산로 321 1층,https://map.naver.com/p/entry/place/2014129691?placePath=%2Fhome,69.3,"- 단체 회식은 물론 가족 모임으로도 손색없는 꾼돈은 합리적인 가격과 맛 분위기 서비스 모두 좋아요. 고양페이, 민생지원금 둘 다 된다.
- 가족외식으로 일산서구맛집 꾼돈숯불갈비에 왔는데 가성비 좋고 나오는 반찬도 구성이 좋다.
- 덕이동 새로생긴 숯불갈비집 꾼돈은 돼지갈비 육질이 부드럽고 양념이 많이 달지 않아 가족외식으로 재방문의사 있는 곳이다.
- 고기 퀄리티가 정말 좋은데 가격도 합리적이라 자주 올 것 같다.
- 덕이동에 새로 오픈했다고 해서 가봤는데 숯불갈비는 오랜만에 먹는데 맛있네요. 가족외식이나 단체회식하기 좋은 곳 같아요.","[""단체 회식은 물론 가족 모임으로도 손색없는 꾼돈은 합리적인 가격과 맛 분위기 서비스 모두 좋아요. 고양페이, 민생지원금 둘 다 된다."", ""가족외식으로 일산서구맛집 꾼돈숯불갈비에 왔는데 가성비 좋고 나오는 반찬도 구성이 좋다."", ""덕이동 새로생긴 숯불갈비집 꾼돈은 돼지갈비 육질이 부드럽고 양념이 많이 달지 않아 가족외식으로 재방문의사 있는 곳이다."", ""고기 퀄리티가 정말 좋은데 가격도 합리적이라 자주 올 것 같다."", ""덕이동에 새로 오픈했다고 해서 가봤는데 숯불갈비는 오랜만에 먹는데 맛있네요. 가족외식이나 단체회식하기 좋은 곳 같아요.""]"
1_95_6,경기도,일산서구,스퀘어81,"카페,디저트",디저트,3.0,경기 고양시 일산서구 중앙로 1371 뉴서울프라자 3층,https://map.naver.com/p/entry/place/1217351504?placePath=%2Fhome,68.9,"- 일산 주엽동에 위치한 대형 카페는 커피 향과 맛이 제 취향에 맞고 공간이 넓어 답답함이 없어 정말 좋다.
- 스퀘어81은 넓은 것도 좋지만 좌석의 형태가 다양한 것이 큰 장점이다.
- 독서모임 진행하는데 가격이 좀 부담되는 것 말고 매장이 넓어서 좋고 맛있는 음료수도 많아서 즐거운 시간을 보냈다.
- 스퀘어 라떼 주문을 했는데 직원이 잘못 계산해서 티로 나왔는데 다시 결제를 해야 한다고 했을 때 음료 주는 분도 사과를 안하고 결제하는 사람도 아무도 사과하지 않았다.","[""일산 주엽동에 위치한 대형 카페는 커피 향과 맛이 제 취향에 맞고 공간이 넓어 답답함이 없어 정말 좋다."", ""스퀘어81은 넓은 것도 좋지만 좌석의 형태가 다양한 것이 큰 장점이다."", ""독서모임 진행하는데 가격이 좀 부담되는 것 말고 매장이 넓어서 좋고 맛있는 음료수도 많아서 즐거운 시간을 보냈다."", ""스퀘어 라떼 주문을 했는데 직원이 잘못 계산해서 티로 나왔는데 다시 결제를 해야 한다고 했을 때 음료 주는 분도 사과를 안하고 결제하는 사람도 아무도 사과하지 않았다.""]"
1_95_7,경기도,일산서구,도원반점 일산킨텍스점,중식당,중식,3.0,경기 고양시 일산서구 킨텍스로 240 킨텍스꿈에그린 지하1층 124호,https://map.naver.com/p/entry/place/2090357591?placePath=%2Fhome,63.8,"- 일산중식당맛집 도원반점은 새로 생긴 음식점이라 호기심에 들어와 봤는데 메뉴 구성도 좋고 가격도 착해 또 방문 예정이다.
- 집 근처에 새로 오픈한 코스 중식당은 양도 많고 요리들 자체가 기본기가 느껴지는 맛들이라 가성비도 맛도 훨씬 우수하다.
- 가족 외식 장소로 추천하는 도원반점 일산킨텍스점은 3자녀 20% 할인 혜택을 받을 수 있어 정말 좋았다.
- 도원반점은 해산물 재료들이 정말 실하고 새우도 크고 쭈꾸미 오징어 등 다 실해서 더 맛있는 것 같다.
- 집 지하에 새로 생긴 중식집 도원반점은 코스요리 가성비 좋고 중식 먹는데 속이 더부룩하지 않아 자주 올 것 같다.
- 유산슬과 깐풍탕수육은 K-개조화가 된 방식으로 보이지만 맛내기법만은 궁극의 원형을 유지하고 있어 위화감 없이 다채로운 맛을 즐길 수 있다.","[""일산중식당맛집 도원반점은 새로 생긴 음식점이라 호기심에 들어와 봤는데 메뉴 구성도 좋고 가격도 착해 또 방문 예정이다."", ""집 근처에 새로 오픈한 코스 중식당은 양도 많고 요리들 자체가 기본기가 느껴지는 맛들이라 가성비도 맛도 훨씬 우수하다."", ""가족 외식 장소로 추천하는 도원반점 일산킨텍스점은 3자녀 20% 할인 혜택을 받을 수 있어 정말 좋았다."", ""도원반점은 해산물 재료들이 정말 실하고 새우도 크고 쭈꾸미 오징어 등 다 실해서 더 맛있는 것 같다."", ""집 지하에 새로 생긴 중식집 도원반점은 코스요리 가성비 좋고 중식 먹는데 속이 더부룩하지 않아 자주 올 것 같다."", ""유산슬과 깐풍탕수육은 K-개조화가 된 방식으로 보이지만 맛내기법만은 궁극의 원형을 유지하고 있어 위화감 없이 다채로운 맛을 즐길 수 있다.""]"
1_95_8,경기도,일산서구,청담추어정,추어탕,기타,4.4,경기 고양시 일산서구 경의로 932,https://map.naver.com/p/entry/place/13137322?placePath=%2Fhome,57.0,"- 추어탕 맛집 추어정에 재오픈해서 포장해봤는데 포장은 김치가 없어서 아쉽지만 여전히 맛있고 손님을 무시하고 불친절한 식당은 많은 개선이 필요하다.
- 추어탕 맛집 추어정에 재오픈해서 포장해봤는데 포장은 김치가 없어서 좀 아쉽지만 여전히 맛있고 손님을 무시하고 불친절한 식당은 많은 개선이 필요하다고 생각한다.
- 청담추어정 덕이점은 리모델링해서 더욱 깔끔해졌고 셀프바도 생겨서 부족한 반찬도 먹을 수 있도록 되어 있으며 전반적으로 업그레이드 됐다고 보면 된다.
- 재오픈한 추어정은 깔끔하고 아늑한 공간에 맛까지 가득 채워져 몸보신을 제대로 했다.
- 청담추어정은 화재로 인한 리모델링 공사 중이어서 한동안 못 왔는데 전보다 더 깔끔하고 쾌적해졌다.","[""추어탕 맛집 추어정에 재오픈해서 포장해봤는데 포장은 김치가 없어서 아쉽지만 여전히 맛있고 손님을 무시하고 불친절한 식당은 많은 개선이 필요하다."", ""추어탕 맛집 추어정에 재오픈해서 포장해봤는데 포장은 김치가 없어서 좀 아쉽지만 여전히 맛있고 손님을 무시하고 불친절한 식당은 많은 개선이 필요하다고 생각한다."", ""청담추어정 덕이점은 리모델링해서 더욱 깔끔해졌고 셀프바도 생겨서 부족한 반찬도 먹을 수 있도록 되어 있으며 전반적으로 업그레이드 됐다고 보면 된다."", ""재오픈한 추어정은 깔끔하고 아늑한 공간에 맛까지 가득 채워져 몸보신을 제대로 했다."", ""청담추어정은 화재로 인한 리모델링 공사 중이어서 한동안 못 왔는데 전보다 더 깔끔하고 쾌적해졌다.""]"
1_95_9,경기도,일산서구,이니야 일산본점,"스파게티,파스타전문",양식,3.0,경기 고양시 일산서구 고양대로 717,https://map.naver.com/p/entry/place/1377288235?placePath=%2Fhome,69.3,"- 일산역 최고의 맛집 이니야 본점에 방문하였는데 메뉴는 전부 다 맛있지만 처음 오셨다면 베스트 메뉴를 추천한다.
- 일산파스타 맛집 인정인정 매장이 넓고 직원들이 친절하고 파스타도 맛이 있으며 코스로 나오는 샐러드와 스프, 디저트, 차까지 거를 타선이 1도 없다.
- 일산시장 근처에 이런 맛집이 있는 줄 모르고 친구랑 왔는데 음식 다 맛있고 특히 라자냐는 원픽으로 고기도 부드럽고 고기 퀄리티나 양이 모두 만족스러워 자주 올 것 같다.
- 지인에게 추천받아 방문했는데 매장 분위기도 좋고 음식의 맛도 좋아 지인들과 좋은 시간 보내고 갑니다.
- 두번째 방문인데 새우비스큐 파스타와 스테이크 샐러드, 명란크림 파스타 모두 너무 맛있고 매장도 청결하고 넓고 주차도 편해 가족모임으로 오기에도 좋고 데이트하기에도 좋은 식당이다.
- 인스타 보고 속는셈치고 가보자 해서 방문했는데 너무 맛있고 매장이 넓고 주차 자리도 넉넉해서 만족스러운 스테이크였다.","[""일산역 최고의 맛집 이니야 본점에 방문하였는데 메뉴는 전부 다 맛있지만 처음 오셨다면 베스트 메뉴를 추천한다."", ""일산파스타 맛집 인정인정 매장이 넓고 직원들이 친절하고 파스타도 맛이 있으며 코스로 나오는 샐러드와 스프, 디저트, 차까지 거를 타선이 1도 없다."", ""일산시장 근처에 이런 맛집이 있는 줄 모르고 친구랑 왔는데 음식 다 맛있고 특히 라자냐는 원픽으로 고기도 부드럽고 고기 퀄리티나 양이 모두 만족스러워 자주 올 것 같다."", ""지인에게 추천받아 방문했는데 매장 분위기도 좋고 음식의 맛도 좋아 지인들과 좋은 시간 보내고 갑니다."", ""두번째 방문인데 새우비스큐 파스타와 스테이크 샐러드, 명란크림 파스타 모두 너무 맛있고 매장도 청결하고 넓고 주차도 편해 가족모임으로 오기에도 좋고 데이트하기에도 좋은 식당이다."", ""인스타 보고 속는셈치고 가보자 해서 방문했는데 너무 맛있고 매장이 넓고 주차 자리도 넉넉해서 만족스러운 스테이크였다.""]"
1_95_10,경기도,일산서구,소코아 킨텍스가로수길점,카레,기타,3.0,경기 고양시 일산서구 주엽로 80 D123호,https://map.naver.com/p/entry/place/2032430374?placePath=%2Fhome,72.1,"- 일산호수공원 나들이 가서 연어덮밥, 치즈카츠, 함박카레를 먹었는데 모두 꿀맛 ?? 아이, 어른 모두다 좋아할 메뉴들이라 강추한다.
- 웨돔과 킨텍스에 새로 생긴 소코아카레가 생겨서 부모님 모시고 다녀왔는데 집 근처에 이런 맛있는 카레집이 생겨 너무 좋아요 매장이 깔끔하고 직원들도 친절해서 기분 좋은 하루가 될거 같아요
- 소코아에서 카레 먹고 빠따따로 후식 마무리하면 될 것 같아요~ 음식도 다 맛있고 인테리어도 너무 귀엽고 멋있어요.
- 호수공원 옆에 생긴 소코아는 인테리어도 멋있고 메뉴도 다양해서 점심 저녁으로 자주 오는 곳이 되었다.
- 소코아 카레는 아이가 잘 먹고 분위기도 좋아 데이트하기 딱이었다.","[""일산호수공원 나들이 가서 연어덮밥, 치즈카츠, 함박카레를 먹었는데 모두 꿀맛 ?? 아이, 어른 모두다 좋아할 메뉴들이라 강추한다."", ""웨돔과 킨텍스에 새로 생긴 소코아카레가 생겨서 부모님 모시고 다녀왔는데 집 근처에 이런 맛있는 카레집이 생겨 너무 좋아요 매장이 깔끔하고 직원들도 친절해서 기분 좋은 하루가 될거 같아요"", ""소코아에서 카레 먹고 빠따따로 후식 마무리하면 될 것 같아요~ 음식도 다 맛있고 인테리어도 너무 귀엽고 멋있어요."", ""호수공원 옆에 생긴 소코아는 인테리어도 멋있고 메뉴도 다양해서 점심 저녁으로 자주 오는 곳이 되었다."", ""소코아 카레는 아이가 잘 먹고 분위기도 좋아 데이트하기 딱이었다.""]"
