reviewid,storeid,searchid,reviewidx,reviewtxt
12_1_1,12_1,12,1,"방문했던 날은 계곡의 물이 거의 없어서 끝까지 못갔지만, 다시 가볼 숨은 스팟. 서울 인근에서 시원하게 발담그고 힐링하기 좋을 곳인듯 해요."
12_1_2,12_1,12,2,"날씨가 너무너무 더워서 계곡에 가고 싶었는데, 멀리 가기는 부담스러워서 진관사 계곡 방문했습니다. 비가 안와서인지 물이 얕긴 했는데 손 잠깐 담그는 것만으로도 확 시원하더라구요! 평일 낮이었는데도 여름 휴가 시즌이라 그런지 사람들로 계곡이 꽉 차있긴 했습니다! 서울 안에서 계곡 느낌만 살짝 내는 정도로 방문하기 딱 좋았던 것 같아요!"
12_1_3,12_1,12,3,수도권계곡에서 가장 탑 주차도 편함 비온후가면 이만한곳이없음!!!
12_1_4,12_1,12,4,진관사 너무 높지않은절!! 무교이지만 가끔가는절~~고3아이를 위해 비로옆계곡도 있는데 너무 시원해 보이더리고요 들어갈수가 있을지 모르겠지만 꼭 들려보세요 단팥죽도 맛있는 진관사!!
12_1_5,12_1,12,5,계곡 방문 안 됩니다 오지 마세요.저희도 20분 걸려서 올라왔는데. 계곡 출입이 안 된대요.
12_1_6,12_1,12,6,산책하기 좋아요
12_1_7,12_1,12,7,조용하니 좋아요. 물소리가 좋아요.
12_1_8,12_1,12,8,진관사 가는길에 오른쪽으로 계곡가는길 지금은 물이 없지만 공기도 좋구 진관사 볼거리도많구 경관이 너무 멋지네요 사계절 가기 좋은곳이네요
12_1_9,12_1,12,9,양쪽 푸른 나무사이로 맑은 물이 흐르는 계곡이 넘깨끗하고 시원해요. 송사리가 많은 걸보니 수질이 좋은가 봐요. 상류에는 들어가지 못하게 해놓아서 물이 더 깨끗해요. 주차장에서 길만 건너면 바로 계곡이에요. 평상이며 쉼터가 곳곳에 있고 체육시설이 되어있는 숲속에공원도 있어요.
12_1_10,12_1,12,10,
12_1_11,12_1,12,11,진관사 주변의경관과 볼거리 많고 멋진곳이네요 지금처럼 날씨 좋은 이가을 다녀올만한 곳이네요
12_1_12,12_1,12,12,진관사계곡도 매우 좋아요
12_1_13,12_1,12,13,현재 입장은 불가하지만 멀리서 계곡을 감상 할 수 있어 좋았습니다 :)
12_1_14,12_1,12,14,서울 근교 작은 계곡!이지만 인기 많습니다. 무조건 아침 일찍 가시길..!! 짧고 굵게 놀고오기 좋습니당
