reviewid,storeid,searchid,reviewidx,reviewtxt
94_1_1,94_1,94,1,카이막 생각나시는 분들은 여기 좋습니다!! 특히 카이막과 함께 먹는 빵은 완전 겉바속촉이에요!! 그리고 후추하디르 라는 커피도 있는데 카이막이랑 잘 어울려요!!👍👍
94_1_2,94_1,94,2,카이막이랑 치아바타 너무 환상❤️ 하디르 시그니처3종 주문했는데 피넛& 후추& 우유 3종다 매력적이다....🥺ㅠㅠ 모두의 원픽은 우유크림 하디르🤍 개인적으로 피넛크림도 맛있네..😋
94_1_3,94_1,94,3,"특색있는 중동컨셉 인테리어에, 대화나누기 아늑한 장소입니다. 하디르커피가 아주 달콤하니 맛있었어요."
94_1_4,94_1,94,4,생각보다 카페는 작았지만 알찼어요 하지만 테라스에 문이 열려있어서 너무 더웠네요 카이막은 맛있엇어요 ㅎㅎ
94_1_5,94_1,94,5,친절하고 가게도 깨끗하고 분위기가 좋았어요!👍👍
94_1_6,94_1,94,6,"잘은 모르지만,,, 튀르키예..또는 아랍..이란.. 중동쪽 분위기의 인테리어가 독특하다 평일 화욜인데도 빈자리가 없다~ 창가쪽(아마도 햇살이 쨍~하게 들어서 비어있었던듯)에 2인석이 비어 있어 앉았다~ 시그니처인 하디르커피 피넛크림, 발르슈트(카이막우유 & 꿀). 따끈한 빵과 꿀이랑 나오는 카이막을 주문했다~ 직원분이 친절하게 먹는방법 설명을 해준다~ 땅콩향이 살짝 나면서 고소한 하디르커피는 매력적이였고, 꿀과 카이막을 얹어서 먹는 빵 맛은 뭐다~? ""천상의 맛~""이라며~!!! 늦은 오후나 저녁엔 좀 한갓지려나.. 손님들로 꽉 차 있어 이국적인 느낌이 많이 반감되는것 같았다~ 테이블이 작고 가깝게 붙어있는 것도 조금 불편했다.. 그래도 이렇게 가까운 곳에서 이국적인 분위기를 느껴볼수 있다는 것에 감사~♡"
94_1_7,94_1,94,7,"인테리어 이쁘고 커피 맛있어요. 하디르 커피랑 타르트 세트로 500원 할인인데, 커피 결제하고 타르트 바로 시켰는데 할인 못받음 ㅠ"
94_1_8,94_1,94,8,공간 아늑하고 커피도 맛있어요😊 카이막도 맛나요 컨셉이 독특해서 외국에 온 느낌이에요ㅎㅎ
94_1_9,94_1,94,9,인테리어 훌륭하고 일하시는 분들 친절하고 뷰 좋고 이야기 나누기 좋았어요. 커피맛 너무 훌륭해요 특히 후추크피.. 카이막 맛있구요.. 또가고싶은곳입니다.
94_1_10,94_1,94,10,카이막 때문에 오랜만에 왔네요 ~~ 역시 하디르 카이막 짱^^ 이예요!
94_2_1,94_2,94,1,모임에 생일에 기념일로 오늘까지 연일 4번째 방문! 메뉴 다양하고 맛도 각각 특색있게 맛있어요 먹물리조또는 반드시 먹어봐야하는 강추메뉴랍니다 비싼만큼 맛있어요 모든 메뉴 다 먹어보기 도전 이젠 일주일 쉬었다가 와야겠어요
94_2_2,94_2,94,2,높은 건물들 사이 카페 신선하네요 분수 정원도 있고 새도 예쁘고 베이커리 종류가 많은건 아니지만 브런치 메뉴 다양하고 피자 맛있어요 플레터는 2시까지만 이라 못먹어 아쉽~ 다음에 브런치 먹으러 좀 일찍 와야겠어요  커피 쓴맛.탄맛 없이 맛있어요
94_2_3,94_2,94,3,🏰 너무맛있는 일산브런치맛집 🎠애견동반가능하지만 야외테라스에서만 가능해요 🍍커피도맛있고 흡연실에 주차편해서좋아요 🐾주말에도 도심속 여유로운 브런치타임 가능해서 좋아요
94_2_4,94_2,94,4,생일기념 지인과 또 방문! 매번 방문할때마다 다른사람 데꼬가기ㅋ 세트메뉴 먹으면 샐러드 제공에 10프로부터 20프로 할인 해줘요 나름 가성비 좋다고 생각하게 되는 매직! 먹물리조또는 무조건! 필수 ㅋ 알리오올리오 파스타가 담백하고 맛있어요 시그니쳐만 먹고와서 그론지 ..내일도 올것만 같은 ㅋ 오늘도 잘 먹었습니당~~~
