reviewid,storeid,searchid,reviewidx,reviewtxt
93_1_1,93_1,93,1,"행주산성 근처 가나안국수는 장칼국수와 초계국수 모두 훌륭합니다.
장칼국수는 진하고 얼큰한 국물이 중독성 있고, 면발은 쫄깃하게 잘 삶아졌어요.
초계국수는 여름에 딱 좋은 시원한 맛으로, 담백한 육수와 부드러운 닭고기가 조화롭습니다.
깔끔한 분위기와 빠른 서비스도 만족스러웠고, 가족 단위나 나들이 겸 방문하기 딱 좋습니다.
재방문의사 100%!"
93_1_2,93_1,93,2,대박입니다 초계국수 진짜 맛잇어요 콩국수 진짜갈아서 크리미하고 달고 맛잇네요 양도 엄청많아요 잔치도 맛잇고 늦게가면못먹는 육전도 맛나요 오래오래 장사해주셔요~^^
93_1_3,93_1,93,3,국수 그릇크기며 양이 엄청나게 많아요. 잔치국수 궁물도 맛나네요. 둘이 세개 시켜서 먹고 육전하나 더 추가해서 포장도 해왔어요. 주말에 종종 올듯요.
93_1_4,93_1,93,4,"여름한정 냉메뉴라 해서 콩국수랑 비빔국수 둘 다 시켜봤는데, 둘 다 완성도 높아요. 콩국수는 고소함이 살아있고, 비빔국수는 양념이 자극적이지 않으면서도 깊은 맛이 나요. 둘이 가서 하나씩 나눠 먹기 딱 좋았어요. 재방문 의사 있습니다"
93_1_5,93_1,93,5,여름엔 무조건 콩국수죠! 고소하고 진한 콩국이 정말 찐이에요. 묽지 않고 적당히 되직해서 면에 착 감기는 느낌이 최고! 얼음까지 동동 띄워줘서 마지막 한 젓가락까지 시원하게 먹을 수 있었어요. 더위에 너무 지쳐있었는데 뜨거운 속 시원하게 풀고 갑니다!
93_1_6,93_1,93,6,"양이 엄청 많아요 다른테이블도 다남기더라구요
잔치국수 양을 좀 줄이고
육수를 진하게 내셨으면..
너무 밍밍해서 다데기파 잔뜩넣어 먹었어요
초계비빔국수는 양념이 달고
양념을 너무 많이 넣어주시네요ㅜㅜ"
93_1_7,93_1,93,7,"이름만 듣고 못갔던 국수집에 한번가봤어요
이제까지 닭칼국수 잔치국수 칼국수 여러가지를 먹어보았지만 이런초계국수는 처음이였어요
냉면발대신 국수면이라 질기지도않고 얼음갈아서 엄청시원하고 제가 국물잘 안먹는데 배부름에도 불구하고 맛있어서 국물을 반이나 먹었답니다
남편은 비빔초계국수인데 건더기많아요ㅎㅎ
양도많고 가격도 좋네요
벽쪽에붙은 테이블들은 결제할수있는 기계가설치되어있어서 바로주문 바로결제가 가능해서 편리했어요
사람많고 점심시간인데도 테이블겹쳐앉지않아도 충분할만큼 넓었어요
주자장이 바로앞이라서 편하구요
육전도시켰는데 사진못찍었네요 맛있었어요
배불러서 다못먹고 포장해왔네요
시어머니모시고 애들데리고 한번먹으러와야겠어요"
93_1_8,93_1,93,8,"행주산성 근처의 맛집.
동생네 근처라 두 번째 방문인데,
양도 많고 보기에도 좋으며 맛도 상당하다.
맛있게 잘 먹다가 마지막에 내가
'지난 번보다 더 맛있어진 거 같은데..?'라고 하자
동생네 부부가 깜놀하며,
최근 자기들끼리 왔을 때도 똑같은 말을 했다 한다ㅎㅎ
곱배기는 아무나 못 먹을 거로 짐작되는 것이,
보통 시킨 후 곱배기 시킬 걸 그랬나 싶다가도
나온 거 먹어 보면 다 비우기가 쉽잖다.
벌써 또 생각날만큼 맛있는데,
다만 손님이 많은 집이어서인지 직원들 친절도는 낮은 편.
다 먹고 일어서니 직원 두 분이 와서 즉시 치우길래,
맛있게 잘 먹었다고 수고하시라고 나와 동생이 인사했으나 누구도 대꾸하지 않았고
안녕히 가시라는 인사조차 없다ㅎ"
93_1_9,93_1,93,9,행주산성에 국수맛집이 있다고 해서 방문했는데요. 매장안도 넓고 주차공간도 널널하고 주차요원 분도 계서서 편리했어요. 그리고 유명하다는 잔치국수랑 비빔국수랑 시켜서 먹어보는데 맛은 물론이고 양이 너무 많더라고요. 유명한데는 다 이유가 있는거 같아요 ㅎㅎ
93_1_10,93_1,93,10,덕양구에서 이렇게 맛있는 국수 먹을 줄 몰랐어요. 국물도 진하고 면발도 탱글탱글해서 한 그릇 순식간에 비웠네요. 매장도 깔끔하고 위생적으로 관리되는 게 보여서 더 마음 놓고 먹었어요. 직원분들도 친절하게 챙겨주셔서 정말 기분 좋게 식사했습니다. 다음에 또 가고 싶어요.
93_2_1,93_2,93,1,"고기를 직접 눈으로 보고 고를 수 있는 점이 좋았고 한돈이라 그런지 고기 퀄리티가 좋아서 목살, 삼겹살, 항정살 다 잡내 없이 맛있었어요💛 반찬들도 정갈하고 사장님&직원분들 친절하셔서 좋았고🫶🏻 매장이 넓고 쾌적깔끔해서 데이트 장소로 딱이었습니다!! 화정 고기 맛집으로 추천드려요~✨"
93_2_2,93_2,93,2,"반찬이나 소스도 잘나오고 맛있어요!

우선 사장님?이 너무 친절하셔서 기분좋은 식사를 했어요!😊
고기도 질도 좋고 그만큼 맛있네요ㅎㅎ 가끔 반찬 주실 때 남길까봐 정말 조금씩 주는 곳들이 많은데, 여기는 반찬도 넉넉하게 주셔서 더 가질러 왔다갔다 하지 않았어요!👍

가려던 곳이 닫아서 육국으로 왔는데 화정 소고기 맛집이네요~ㅎㅎ

(매장도 넓어서 단체,가족이랑 오기 좋아요! 분위기도👍)"
93_2_3,93_2,93,3,"고기가 너무 맛있어요!!
고기가 좋아서 소금만 찍어먹어도 너뮤너뮤 맛있어요! 불도 숯불이라 화력도 좋고 너무 만족스러운 식당이에요! 아이 수저도 있어서 아이랑 같이왔는데도 너무 맛있게 잘 먹었어요 재방문 의사 있어요!!!"
93_2_4,93_2,93,4,"정육식당이 고기질도 좋을거같아서 방문했는데 직접 눈으로 보고 고기 고를 수 있어서 좋았고, 세트 구성도 있어서 좋아요! 그리고 정육식당인데도 분위기도 좋고 깔끔하니 지인이나 가족들끼리 오기에도 좋을거같고 단체모임도 추천해요!
밑반찬들도 간이 쎄지않고 곁들임 장들도 종류가 많아서 좋네요!
자주 오게될거같아요!! 강추-!"
