reviewid,storeid,searchid,reviewidx,reviewtxt
12_1_1,12_1,12,1,반찬많아서좋아요~가격도 좋아요~
12_1_2,12_1,12,2,맛나네요 감사해요
12_1_3,12_1,12,3,추억의 김밥과 라면을 먹었습니당ㅇ
12_1_4,12_1,12,4,음식은 맛있는데 너무 불친절해요 ~~~~ 분할 결제 물어보니까 그건 안 된다고 짜증내시고 가격 분할이라니까 그제서야 카드 덥썩 가져가셔서 해준다고 하는 것부터 맘에 안 들었는데 밥 나올 때도 쫄면~~~~ 버럭 소리지르시고 쫄면 가지러 왔을 때 서비스바 이용도 되냐고 처음 와서 물어보려고 그냥 여쭤봤는데 되게 코웃음 비웃음 치시면서 네~ 이용하세요~ 이러심ㅋㅋㅋㅋ 되게 기분 나빠요 아주머니들 진짜 그러고 장사하지 마세요 진짜 혼밥하는 사람 무시하는 것처럼ㅋㅋ 다신 안 가요 ㅋㅋ 기분이 나빠서 먼 길에서 왔는데도 기분 잡쳤어용 0점 주고 싶은데 리뷰 변경돼서 정말 아쉽네요~~
12_1_5,12_1,12,5,음식맛있어요
12_1_6,12_1,12,6,맛있고 혼밥하기 좋와요
12_1_7,12_1,12,7,혼밥하기좋고 맛있어요
12_1_8,12_1,12,8,"밋있어요
반찬 셀프여서 좋고 가지수 많고 반찬 맛있어요
분식집 반찬이 아닌것 같앙ᆢㄷ
진짜 밑반찬 좋아요"
12_1_9,12_1,12,9,치즈돈카츠 7500원. 반찬도 6~7까지 !
12_1_10,12_1,12,10,좋아요
12_1_11,12_1,12,11,"연신내 분식 맛집이네요
우연히 아이가 배고프다고해서 들어갔는데
반찬도 많고 반찬 다 맛있엇어요
잡채가 있다니 … ㅋ
잔치국수 양은 왜이렇게 낳고
여러가지 다양하게 재료가 들어가서
엄마가 끓여준줄 알았어요 .
연신내 갈일 있음 또 방문할게요 :)"
12_1_12,12_1,12,12,
12_1_13,12_1,12,13,좋아요
12_1_14,12_1,12,14,반찬이 많고 맛있어요
12_1_15,12_1,12,15,가성비
12_1_16,12_1,12,16,좋아요~
12_1_17,12_1,12,17,"혼밥 먹고싶을때마다 갑니다~~~
반찬해서 된찌시켜서 먹으면 집밥입니다 진짜👍
연신내 가성비맛집"
12_1_18,12_1,12,18,"김마리밥 방문. 요즘 김밥천국,나라 다 없어지고 있는데 영하시는 소중한곳. 식사메뉴 주문시 한식뷔페 뺨치는 셀프바가 두둥탁! 맛? 의심이 없이 맛나디. 재방문의사 이이이이쓰으으음!!!!!!"
12_1_19,12_1,12,19,식사도 저렴하고 반찬도 여러가지 있어서 골라먹을수 있어요~가성비좋도 맛도 좋아요
12_1_20,12_1,12,20,든든하고 빠르게 먹을 수 있는 마리김밥!♡
12_1_21,12_1,12,21,좋아요
12_1_22,12_1,12,22,"맛있어요
셀프여서 편하게 먹어요"
12_1_23,12_1,12,23,맛있어요
12_1_24,12_1,12,24,좋아요
12_1_25,12_1,12,25,"참치,멸치,베이컨 김밥포장 사왔어요. 구별이 없네요.
당무지도 이야기하면 넣어줘요. 맛있지만 가게사람들이 바쁜가봐요. 기분는.....?!"
12_1_26,12_1,12,26,음식종류가 다양하고 맛있었어요
12_1_27,12_1,12,27,맛있어요
12_1_28,12_1,12,28,오늘 김밥은 좀더 맛있는 듯 해요^^
12_1_29,12_1,12,29,순두부는 사랑입니다.
12_1_30,12_1,12,30,
12_2_1,12_2,12,1,주인 여자분이 알바생들을 대하는 태도가 별로네요.
12_2_2,12_2,12,2,다른건 다 괜찮은데 남자직원 뚱한 표정에 인사도 안해서 기분좋게 먹고 기분나쁘게 나와요
