reviewid,storeid,searchid,reviewidx,reviewtxt
12_1_1,12_1,12,1,"불난거 아닙니다 불쇼입니다ㅋㅋㅋㅋ
맛있고 양도 많아서 부모님도 좋아하셨어요 :)
등골도 생각보다 너무 신선해서 부모님이 오랜만에 드시니 너무 맛있다고 좋아하셨습니다!
한달새에 두번째 오는데 만족스러워요
또 올게요!"
12_1_2,12_1,12,2,연신내 아우성 유명하다고 해서 주말 오픈런으로 방문했어요 가득찬 곱이랑 잡내없는 곱창에 왜 유명한지 알겠더라구요 초벌해주시고 테이블에서 기호에 맞게 잘 구워먹으면 됩니다 대창 맛있어서 추가주문했어요 기본으로 계란찜이랑 순두부 나오고 서비스 같지않게 진짜 맛있어요 볶음밥은 꼭 주문하셔야됩니다 직원분들 모두 친절하시고 매장도 깨끗해서 기름냄새 잡내 하나도 안나요 여름에도 시원하게 곱창 먹을 수 있어요 재방문의사 100%에요!
12_1_3,12_1,12,3,이집 멀리서도 찾아올 곱창 맛집입니다. 연신내의 축복이군요. 등골먹으러 왔는데 떨어져서 못먹었지만 곱창 막창이 진짜 인생맛집급에 미국에서 온 친구도 냄새 안나서 너무 맛있게 먹어서 즐거운 시간 보냈습니다. 아 그리도 직원분들 사장님 전부 친절하세요. 이제 곱창은 이집으로 정착!!
12_1_4,12_1,12,4,집 근처 곱창집 눈여겨보고 있다가 남편이랑 와봤는데 역시 맛집이었네요!! 곱창대창 다 맛있구 볶음밥도 최고에용!!😀 곱창 잘 못 먹는 남편한테 곱창 대창 맛있다는 말 들었네요ㅎㅎ
12_1_5,12_1,12,5,"너무 애정하는 곳이라서~!!
맛있는 곱창집을 찾는다면 고민할것도 없습니다 ^^"
12_1_6,12_1,12,6,"음식이 잡내 없이 매우 깔끔해요
직원분들도 친절해서 올 때마다 기분이 좋습니다
추천합니다!"
12_1_7,12_1,12,7,"언제먹어도맛있는 아우성👍👍
곱이많이들어있어서 고소하고맛있어용😀
연신내맛집으로 최고예용🩷🩷
연신내 데이트오실때한번씩 방문해보세용🤗
오늘엄청더운데 맥주가 짱짱 시원해용😁"
12_1_8,12_1,12,8,연신내 곱창집 찾다가 왔는데 너무 맛있게 잘 먹었습니다ㅎㅎ 계란찜하고 순두부찌개도 서비스로 나와서 좋아요ㅎㅎ
12_1_9,12_1,12,9,순두부서비스에 곱창이 아주 맛있습니다~오랫만에 먹어보는대 또 찾을듯해요~
12_1_10,12_1,12,10,"아우성황소곱창 연신내에서 오래있었던건 알았지만 오늘 처음 와보니 진짜 맛있네요🤍🤍
연인과 가족들과 함께 왔는데 음식이 맛있어서 분위기가 화기애애합니다~!
다음에 또 올래요^_^"
