reviewid,storeid,searchid,reviewidx,reviewtxt
94_1_1,94_1,94,1,진짜 너무 맛있어요 새로 생긴 거 같은데 24시간이라니 .. 24시카페중 제일 좋을듯 .. 웨돔 카페중에서도 제일 좋을 거 같아요 음료도 다 마싯구 베이글 안에 버터 동굴있고 데워주셔서 진짜 맛있어요...❤️ 복숭아그릭요거트도 달달하고 맛있게 먹기 좋움용👍🏻💗 수박도 완전 수박맛 ㅋㅋㅋㅋㅋ시럽맛 하나도 안나요
94_1_2,94_1,94,2,"24시간 늦은 시간까지 영업하는 카페인데 깔끔하고 모던한 인테리어에 메뉴도 설탕 없는 건강한 맛의 음료와 디저트가 다양하게 있고 여기 카페에만 있는 특별한 메뉴들이 있어서 좋았어요~♡ 특별한 음료, 디저트 맛있게 즐겼어요~ 대박나세요^^"
94_1_3,94_1,94,3,"웨돔 근처에 이런 분위기 좋은 카페가 있는줄 몰랐네요. 분위기 좋고, 커피 맛있고, 대화하기 좋은.... 마제소바도 맛있다고 하는데 다음에는 꼭 한번 먹어봐야겠어요. 출입문 하나를 두고 밖에는 바쁜 일상이 안에는 여유로움이 느껴져요!!"
94_1_4,94_1,94,4,일산에 이렇게 넓고 쾌적하면서 차분한(시끄럽지 않은) 24시 카페 처음봐요 ㅠㅠ 정말 자주 오겠다고 다짐한 몇 안되는 곳.. 보통 코로나 이후에 생긴 24시는 엄청 좁거나 분위기가 딱딱한 독서실 느낌or아줌마들 수다파티라 불편한데 여긴 딱 좋네요 ㅠ 최공!
94_1_5,94_1,94,5,분위기 좋고 작업이나 대화하기도 좋아요 ㅎㅎ 신기하게 식사류도 있고 그 외 디저트 메뉴도 다양해서 또 와서 다 먹어보고 싶네요 !! 치즈케이크🍰 상큼하니 맛있고 바나나🍌그릭요거트도 꾸덕한거랑 부드러운 것중에 고를 수 있어서 좋아요~~ 리뷰 작성하면 주시는 그릭요거트칩이 기대 이상으로 맛있네요 다들 리뷰 작성하시고 그릭요거트칩 드세요🥖🥖🖤
94_1_6,94_1,94,6,지난번에 2층 잘못 찾았다가 이번에 위치 제대로 찾고 왔어요!! 카페 깔끔하고 분위기가 너무 좋아요. 24시간 카페면 위생도 안좋고 시끄러운데 많은데 여기는 차분하고 너무 좋네요 베이글고 너무 맛나용!!
94_1_7,94_1,94,7,커피가 친절하고 사장님이 고급져요✨ 업무미팅 때문에 왔는데 커피 마시다가 식사까지 했어요 음식도 커피도 맛있습니다 (카페라떼 최고)☕️ 24시 카페 시끄럽고 정신없는 경우가 많은데 여긴 선곡도 좋고 분위기도 차분 따뜻하니 넘 맘편히 일하다 갑니다👍🏻 다음에 또오겠습니당 저만 알고 싶으니까 번창하시되 인기는 조금만 인기있으실게용😉
94_1_8,94_1,94,8,24시간 카페라 아침에 일찍가기 좋아요. 오전 7시반에 방문했어요. 24시간인데도 깨끗해요. 라떼가 너무 맛있어서 놀랏어요. #일산데이트
94_1_9,94_1,94,9,"벌써 여러번째 방문인데 올 때마다 마시는 음료도 너무 맛있고, 분위기도 정말 좋아서 작업하기에도 딱이에요! 그릭요거트도 있고 음료에 설탕대신 스태비아로 대체할 수 있는 것도 넘 좋네용~~ 직원분들도 늘 넘 친절하셔요!! 앞으로도 재방문 의사 100%입니당❤️"
94_1_10,94_1,94,10,근처에 새로운카페가 생겼다고해서 와봤습니다 분위기도좋고 음식도 음료도 너무 맛있었어요 의자랑 테이블도 편해서 책읽기에좋았습니다 다음에 친구랑 이야기하거나 부모님이랑 같이오는것도 좋을것같아요 ㅎㅎ
94_1_11,94_1,94,11,음식이 맛있구 커피도 맛있어요^^깨끗하고 차분한 인테리어여서 대화 니누기에도 좋은 장소인거 같아요!! 키즈존에 댕댕이 간식도 판매하고 있어서 편리합니다!! 다음엔 베이글도 맛보고 싶네요!!
94_1_12,94_1,94,12,정말 건강하고 특별한 메뉴들이 많아요 음료도 디저트도 하나같이 맛있어요 디저트부터 아이스크림 모두 직접 만드신다고 하셔서 더 맛있는 것 같아요 공간도 넓고 테이블도 넓고 좌석간 거리도 충분해서 대화하기도 좋고 음악조 인테리어도 감각적이에요 추천합니다 !
94_1_13,94_1,94,13,저번주에 마제소바먹었는데 너무 맛있게 먹어서 이번주에 또 왔어요ㅎㅎ 이번에는 별미밥도 추가해서 먹어봤습니다! 마제소바랑 잘 어울려요♡♡ 지인들과 여러 음식 같이 맛 봤는데 음식들이 다 맛있어요 ㅎㅎ
94_1_14,94_1,94,14,분위기 너무 좋고 음식 커피 다 너무 맛잇어요 사장님도 짱 친절하시고 데이트하기 너무좋아요 기분좋아지는 곳이에요 #일산데이트
94_1_15,94_1,94,15,웨스턴돔 바로 앞에 있어 위치가 참 좋아요. 의자가편해서 참 마음에 드네요. 24시간 영업이라니 그것도 참 좋고요. 자주 들르게 될 것 같습니다!!
