reviewid,storeid,searchid,reviewidx,reviewtxt
95_1_1,95_1,95,1,메뉴도 다양해서 가족들이랑 외식하기도 좋을 거 같아요 음식 하나하나 다 맛있고 한상 정갈하게 나오니 푸짐하고 맛있어서 만족스런 식사였답니다 👍🏻 마지막 마무리로 솥밥에 누룽지까지 먹을 수 있어서 좋았어요 !
95_1_2,95_1,95,2,다른지점에서 먹었었는데 맛있어서 두번이나 갔어요. 집 근처 트레이더스 2층에도 있었네요~ 아이들도 다같이 먹기 좋은 곳이고 푸짐하게 잘 나와서 인기많은 곳입니다. 주말에는 항상 웨이팅 필수인 곳~ 그래도 먹으면 짱 맛있어요 ㅎㅎ 마라가지랑 제가 좋아하는 한우대창 아이는 항상 소고기전골입니다 ㅎㅎ 샤브샤브느낌나서 좋대용 밥이 찰진건 물론이고 위에 올려진 토핑들이 최고입니다. 여름이라 시원하게 자몽청 청귤청 먹었는데 이것도 맛있네요~~ 가까우니 또 방문드릴께요!
95_1_3,95_1,95,3,"10개월아기랑 친정엄마랑 점심먹으러 왔어요:) 새로 오픈해서 그런지 매장 자체가 엄청 깔끔하더라구요~ 메뉴도 솥밥메뉴만 있는게 아니라 전골솥밥 메뉴도 있어서 다양했어요! 다만 저희 친정엄마가 전골솥밥에 나온 노른자를 밥에 비벼드셨는데, 이게 맞게 먹은건지... 고기에 찍어먹으라고 준건지를 설명해주지 않으셔서ㅠㅠㅠㅠ 그래도 이유식 전자레인지랑, 아기 빨대컵, 인형 등 배치해두신게 센스있더라구요😇"
95_1_4,95_1,95,4,"바뀐 스타필드마켓 처음 와서 식사했어요. 한식파라 손내음 왔는데, 남편이 한마디로 정리해 주네요. 어! 이집 맛있다!!!! ㅋㅋㅋㅋ 닭목살 솥밥 명란구이, 만두, 한상차림? 모든 메뉴가 맛있었어요. 리뷰이벤트도 다양해서 배 터지게 먹었네요."
95_1_5,95_1,95,5,스타필드 마켓 맛집이네요! 스테이크 솥밥의 스테이크는 굽기도 적당하고 양도 많아요 풍미한상도 탱탱하고 새콤달콤한 막국수를 불고기에 싸먹는게 정말 맛있네요. 불고기도 양이 꽤 있어서 막국수를 다 먹을때까지 싸먹을 수 있어요. 맛있습니다~
95_1_6,95_1,95,6,솥밥 잘하는 맛집👍🏻 아이랑 외식했는데 어른 아이 모두 잘 먹고 너무 맛있어서 순삭 하고 먹었어요😋 킨텍스 마켓에 이렇게 맛있는 곳이 있는지 몰랐네요~ 가성비도 좋고 맛도 좋은 솥내음 추천해요~
95_1_7,95_1,95,7,분위기는 가족이 쇼핑하고 가기 좋은 곳 솥밥이라서 믿고 먹어요 다양한 요리가 있어서 강추  깔끔한 매장이라서 더욱 좋아요  추천이요 직원분들도 친절해요  도자기 슬병에 매밀물 따뜻한 거 있는데 솥에 부어먹는 거예요  혹시 빈병으로 주면 물달라고 하세요 저는 빈병 줘서 이게 뭐지?  한참 고민했어요 직원분이 깜빡하신 거예요  당황하지 말고 달라고 하세요^^
95_1_8,95_1,95,8,"부모님과 장보러 킨텍스 스타필드 마켓 왔다가 식사하러 식당 고르던 중 솥밥이 눈에 들어와서 와봤어요. 오리랑 돼지불고기 덮밥 주문했는데, 숯불 향 가득하니 정말 맛있네요. 건강한 한끼를 즐길 수 있어 좋아요. 솥밥 좋아하는데, 누룽지를 넣을 수 있게 따로 준비한 센스~ ㅎ 이거 맘에 드네요."
95_1_9,95_1,95,9,"점심에 배고파서 솥밥먹으러 왔는데 잘선택한것같습니다! 가족, 커플 다 맛있게 먹을 수 있는 곳입니다^^ 불고기랑 꼬막먹었는데 다 양념간 딱 맞고 맜있었어요~^^ 샐러드에 식후차까지 조합이 최고입니다! 맛있게 먹고갑니다~^^"
95_1_10,95_1,95,10,"맛있는 솥밥먹었네요. 늦장부리느라 먹고픈 메뉴는 못먹었지만 만족스러운 식사라 좋았어요. 부채살스테이크솥밥, 전복솥밥에 명란마요구이, 새우장까지 짭짤하고 부드럽고 포슬하게 입안에서 부서진던 명란구이가 또 생각납니다. 다음에는 오픈런해야겠어요~~ 친절히 응대해주셔서 감사합니다 ~~~^^"
95_1_11,95_1,95,11,금요일 저녁 쇼칭 후 들린 곳입니다 솥밥은 처음인데 아이도 너무 맛있어하고 어른들도 만족하는 식사였어요!! 정갈하고 청결한 매장에서 즐기는 가족식사 시간 너무 좋았습니다. 파주맛집으로 꼭 추천하고 싶어요!!
95_1_12,95_1,95,12,스타필드마켓 킨텍스에 장 보러 갔다가 2층 식당가에서 발견한 솥내음 솥밥을 좋아하고 누룽지도 좋아하는데 여기는 솥밥이 너무 맛있고 양념도 과하지 않고 조화로와서 자주 오게 되는거 같아요 다음에는 다른 솥밥도 먹어봐야겠어요 한상 차림으로 이정도 비쥬얼에 이정도 가격이면 가성비 좋네요 누룽지까지 먹으니 제대로 한끼 먹은거 같아 기분이 좋아지게 만드는 집입니다.
95_1_13,95_1,95,13,저번부터 한 번 와보고 싶었는데 평일 낮 시간이 와봤어요! 닭목살 덮밥에 기본 양념되어있는 간장맛이 너무 맛있네요 그리고 아기손님를 배려하는 매장같아요!! 이유식 데울 수 있는 전자렌지와 인형까지 구비되어 있어서 좋아요~~
95_1_14,95_1,95,14,킨텍스 스타필드마켓왔는데 여러 식당중 제일 맛있어보이고 손님도 많아서 들어왔습니다. 문어솥밥 문어도 쫄깃부드럽고 간도 딱맞고 푸짐하고 정말 맛있네요 매콤불고기솥밥도 불향가득 부드럽고 적당히 매콤해사 딱 좋아요
95_1_15,95_1,95,15,일산 킨텍스 맛집 👍🏻 1인상으로 정갈하고 깔끔하게 나와 좋고 솥밥에 재료 듬뿍 들어가있어서 넘 좋아요! 스테이크에 문어 추가했는데 스테이크랑 문어 둘 다 엄청 부드럽고 너무 맛나요 ❣️ 호박버섯 솥밥도 양념이 너무 맛나고 버섯 진~짜 많이 들어있어서 놀랐어요 😂 사이드로 주문한 닭껍질 만두 고소함 그 자체 짱맛..👍🏻 마무리로 누룽지 숭늉까지 완벽한 식사였어요 😆
95_1_16,95_1,95,16,"킨텍스 타운 올때 마다 손님도 많고 궁금했던 곳인데 드디어 방문했어요. 저는 꼬막솥밥, 남편은 돼지 불고기 솥밥 먹었는데 둘다 생각했던 매콤함과 불맛이 느껴지는 맛이에요! 다음에 다른 메뉴도 와서 먹어보고 싶네요."
95_1_17,95_1,95,17,"일산 스타필드 마켓에 왔는데 점심시간이 때마침 돼서 식사하려고 찾아봤는데, 너무 괜찮은 식당을 찾아서 들어왔습니다. 메뉴도 특별하고 맛있는 메뉴들이 많고 여느 음식점에서 먹는 것보다 훨씬 퀄리티가 높았습니다. 같이 온 저희 딸도 맛있다면서 다음에 또 오자고 하네요🥰"
95_1_18,95_1,95,18,"마라 가지와 꼬막, 로제 떡볶이 주문해서 먹었는데 전체적으로 정갈하고 푸짐하게 나왔어요 전 가지 솥밥으로 먹었는데 생각보다 양이 많아서 놀랐네요ㅎㅎ 맛도 마라향이 너무 강하지않고 맵기도 적당해서 매운거 못드시는 분들도 맛있게 드실 메뉴 같아요 먹는 방법도 직원분들이 친절하게 알려주시고 좋았어요 잘먹었습니다~!"
95_1_19,95_1,95,19,스타필드마켓으로 바뀌고 놀러왔는데 솥밥집이 생겼더라구요 와이프가 좋아해서 왔는데 마라 삽겹 찐맛이에요 마라랑솥밥이라니!? 해물장 세트나눠먹었는데 아주배불리 맛나게잘먹었네요 재방문 가능요 #파주맛집 #일산맛집
95_1_20,95_1,95,20,"With a little lining, something special menus are serviced. 전복솥밥, 꼬막솥밥, 새우장, 막걸리 all is perfect with no flaws. Good~!!!"
95_1_21,95_1,95,21,솥밥 킬러입니다~~♡ 일산 솥밥은 다 꿰뚫고있는데 여기 깔끔허고 반찬도맛있고 밥도맛있고 직원분도친절하시구 솥밥은 여기루 먹으러와야겠네용~~♥️👍👍또올게용~~~❣️❣️😁😁😁😁
