reviewid,storeid,searchid,reviewidx,reviewtxt
12_1_1,12_1,12,1,"글램핑장, 카라반 몇군데 가봤지만 여기만큼 깔끔하고 가성비 좋은 곳을 못봤습니다. 완전 가까운 곳에 편의점이랑 정육점 있는 것도 너무 좋고 시설이 매우 깔끔해요!! 이근처에서 고기구워먹고 캠핑갈 일 있으면 무조건 여기로 오고 지인에게도 추천하는 곳입니다. 이번에도 너무너무 잘 놀다갑니다!! 감사합니당"
12_1_2,12_1,12,2,"카라반은 처음 이용해보눈데 쾌적하고 너무 좋았어요 4명에서 이용했는데 전혀 좁지 않았구요 기본적으로 구비되어있는 용품이 많아서 좋았어요 여름이라 밖에서 바베큐하기가 너무 힘들지만 카라반 내부는 에어컨 빵빵 천국이에요
바베큐하는데 선풍기가 구비되어 있긴한데 위치를 옮길수 없는 위치에 있어서 틀어둔 효과를 못봤어요ㅜ 대형 마트도 가깝고 근처에 도보3분? 정도에 가까운 편의점도 있어요
저는 너무 만족스러워서 재방문 의사 10000프로 입니당😆"
12_1_3,12_1,12,3,"시설도 깔끔하고 응대도 질해주셔서 두번째 방문이었는데 가을에 또 한번 방문할거 같아요!
아이도 넘 좋아했고 좋은 추억 쌓고 갑니다
입실때 카트 타고 가는게 좋았나봐요
나갈때도 타면 안되냐고 물어보더라고요^^
잔잔하지만 그런게 아이들한텐 즐거운 추억이 될수 있으니 저도 아이의 표정을 보며 좋았습니다
번창하세요~^^"
12_1_4,12_1,12,4,"방학맞은 아이와 방문했어요^^ 카라반이 깨끗하고 관리가 잘되어있어서 너무 좋았어요! 서울,경기쪽에서 30~40분 거리라 가깝고 주변에 은평한옥마을이 근접해있어서 다음날 체크아웃하고 한옥마을구경했어요! 장작비용 지불하니 장작만 쌓아놓으면 불도 붙여주셔서 불멍도 손쉽게 할수있어요! 방학때마다 재방문할예정이예요^^"
12_1_5,12_1,12,5,"더 더워지기 전에 카라반 다녀왔어요~
벌써 세번이상 방문 했네요ㅎㅎ
바베큐 해먹기 너무 편하고 불멍까지~~
넘 행복했습니다ㅎㅎ
집이랑 멀지 않은 곳에 있어서 너무 좋아요!!
다음에 또 방문하겠습니다!!"
12_1_6,12_1,12,6,"지친 일상 속, 멀리 가지 않아도 마음이 가벼워질 수 있을까 싶어 찾은 북한산 카라반. 믿기지 않게도 서울 한복판에서 조용하고 아늑한 시간을 보낼 수 있었습니다. 배달 음식과 가까운 편의점 덕분에 번거로움 없이 오롯이 '쉼'에만 집중할 수 있었습니다. 아무것도 하지 않는 하루가 이렇게 따뜻할 줄은 몰랐습니다. 바람에 실려 오는 숲 냄새, 소담하게 피어 있는 장미, 친구와 나눈 느긋한 대화들… 그 모든 순간이 마음을 조용히 위로해주는 느낌이었습니다. 규칙이 조금 엄격하다 느껴졌지만, 덕분에 공간은 더 고요하고 단정했기에 오히려 고마운 마음이 들었습니다. 바쁘고 시끄러운 도시 안에서도, 이렇게 고요한 작은 숲이 있다는 사실이 오래도록 기억에 남을 것 같습니다. 빠른 피드백과 따뜻한 맞이도 인상 깊었고 감사합니다"
12_1_7,12_1,12,7,여름에 한번 겨울에 한번 자주 올만큼 조용하고 좋아요. 서울 근교에서 가벼운 마음으로 놀고 바베큐 할수 있어서 매년 오려고 합니다. 이번 직원분은 특히 친절하셔서 너무 기분 좋았어요 잘 놀다 갑니다. 캠핑장 나와서 맛집도 많으니 강추 ! 근처에 큰 마트도 있어서 뭐 두고 오시면 장보러 갈수도 있어요
12_1_8,12_1,12,8,잘놀고 잘쉬다가 왔어요~ 아이랑 밤산책하다가 찍은 캠핑장사진이에요. 포도가 정말 알차고 실하게 맺혔더라구요~^^ 물놀이는 살살해도 다음날이 힘드네요~ 아이들 다 컸으니 다음번엔 아이들끼리 놀라구해야겠어요ㅎ;;
12_1_9,12_1,12,9,지난 주말에 남치니랑 북한산카라반 2박3일 연박으로 다녀왔어요.시설이 깔끔하고 조용한 분위기이며 주위에 편의점도 가깝고 불편한게 하나도 없는곳입니다.바베큐도 시간 맞춰서 준비 뙇뙇 해주시고 불멍도 하며 올만에 힐링하고 왔네요~북한산 둘레길로 한옥마을도 다녀오고 즐거운 여행이었습니다. 또 갈께요!ㅋ
12_1_10,12_1,12,10,"악의성있는 후기가있는데,
진심으로 예민하신분들일거라 생각되네요
직원분들도 무척 친절하십니다!

정말 즐겁게 좋은 시간 보냈습니다!
다음에 또 방문할게요!"
12_1_11,12_1,12,11,"너무 깨긋하게 관리가 잘 되어 있어요! 메너타임 시간에 조용해져서 좋아요! 간만에 너무 꿀잠 잔 것 같아요 ! 여자들끼리 오기도 너무 좋은게 숯 추가만 하면 불 피워 주시니까 고기만 굽기만 하면 되서 너무 편하구요, 불멍하면서 오로라 가루 넣으면 너무 예쁘네요! 온수 잘 나오구요! (너무 뜨거워서 손을 데일 정도에요..) 난방은 되는지 몰라서 벌벌 떨면서 자긴 했네요.. 🥲 암튼 여러모로 너무 좋은 숙소 입니다 재방문 의사 있어요!!"
12_1_12,12_1,12,12,"항상 겨울에 글램핑 다니다가 처음으로 여름에 다녀왔습니다! 요즘 러브버그가 기승이라 걱정이었는데, 북한산 근처인데도 불구하고 벌레가 생각보다 많지 않았고 카라반 내부도 깔끔하고 냉방도 잘되서 쾌적하게 잘 놀다 갑니다!
다른 분들도 매너시간 잘 지켜주시고, 배달음식(치킨)도 배달되는 곳 생각보다 많아서 혹시나 고기 못사와도 걱정 안하셔도 될 것 같아요!
직원분도 다들 친절하시고 전체적인 분위기도 아늑하고 고즈넉해서 힐링하고 가기 딱 좋은 장소인 것 같습니다!
앞으로도 계속 장사해주세요😚❤️👍👍"
12_1_13,12_1,12,13,"구파발 롯데마트에서 택시타고 오기도 너무 좋고 주차장에서부터 픽업까지 해주셔서 너무 좋았습니다. 관리해주시는 분들도 너무 친절하시고 바베큐&장작 불도 예약한 시간에 맞춰서 바로 준비해주시는게 좋았습니다.
쓰레기장에 쓰레기가 꽉차면 바로바로 비워서 정리하시는 모습보고 정말 관리에 진심이신걸 느꼈습니다.
엄마와 함께 갔는데 주변 산책하기에도 좋았고 만실임에도 불구하고 다들 조용조용한 분위기여서 더욱 편하게 쉴수있었습니다. 에어컨도 빵빵해서 너무 좋았습니다. 다음에도 기회가 된다면 또 방문하고 싶은곳입니다."
