reviewid,storeid,searchid,reviewidx,reviewtxt
93_1_1,93_1,93,1,
93_1_2,93_1,93,2,어반이스트도 좋고 투앤투 레스토랑도 좋아요 주변에 인프라도 좋구요 창문 열어 놓으면 살짝 소음있어요
93_1_3,93_1,93,3,방도 깨끗하고 편안하게 잘 쉬다왔습니다 방이 구분이 되서 더 좋았습니다
93_1_4,93_1,93,4,정말 너무 편하게 잘 쉬다왔습니다! 완전 깨끗하고 주변에 가고싶던 맛집도 있어서 너무 좋았어요! 아침 저녁으로 반신욕하고 피로도 완전 쫙 풀렸네요! 재방문 의사 있음~~~!!!!!!
93_1_5,93_1,93,5,출장 때문에 4번 이상 방문 하고 있는데 나쁘진 않습니다. 다만 테이블이 없어서 베란다에 있는 테이블 옮겨서 쓰고 있네요. 베란다 문 열면 편백나무 냄새가 나서 기분은 좋아요. 족욕하기에도 딱 좋아요.
93_1_6,93_1,93,6,출장 때문에 자주 왔는데 햇볕이 잘 들어서 너무 좋구요. 깨끗하고 깔끔합니다. 다만 세면대 근처 수건 걸이 하나가 있으면 더 좋을거 같네요.
93_1_7,93_1,93,7,가격대비 좋아요~~~~~~~~~
93_1_8,93_1,93,8,데스크도 늘 친절하시고 방 컨디션도 좋습니다. 잘쉬다갑니다.
93_1_9,93_1,93,9,방이넓고 이쁘네요 아이들이좋아하네.ㅛ
93_1_10,93_1,93,10,6/16 금요일 체크아웃 할 때 프런트에 계신 직원분이 정말 친절하셨어요! 전날 체크인할땐 엥?스러운 부분이 좀 있었는데 오전에 계신분은 정말 친절하세요😚 혼자 쉬기 딱 좋은데 다만 가운에서 꿉꿉한 냄새+촉감때문에 살짝 아쉬웠습니다ㅠ
93_1_11,93_1,93,11,아주 불편해요. 우선 주차 불편 합니다. 봐주시는 분 없어요. 프런트 직원 사적인 통화 하다가 대충 응대합니다. 모텔 기분 들어요. 침구 중 베개가 2개 입니다. 추가 바게 신청 할 수 있나 문의 했는데 없답니다. 불편해도 너무 불편합니다. 더윈 갈려고 했는데 이곳이 새로 생긴 곳이린 와봤는데 실망*100 입니딘. 참고하세요ㅠㅠ
93_1_12,93_1,93,12,"가격도 합리적이고 너무만족 스럽습니다!! 히노끼탕은 한명씩 들어야가야 하지만, 편백향이 참 좋았어요 ㅎㅎ추천 합니다 ㅎㅎ"
93_1_13,93_1,93,13,직원들 모두 친절하셔서 좋았습니다. 자쿠지도 좋았어요! 다만 제가 개인적인 일정이 생겨서 몇 시간만 사용하다가 나오게 되어서... 그게 정말 아쉬웠습니다. 기회가 되면 재방문 하려고 합니다!
93_1_14,93_1,93,14,친구와 동네 마실 왔다 갔었는데 커피도 막있고 케잌 플레이팅도 예쁘고 가끔 프렌차이즈 질릴때 와서 담소 나누려구요^^ 22층리 뷰도 좋구 레스토랑 다른 메뉴도 도전해 볼만한 곳입니다~~
93_1_15,93_1,93,15,굿
93_1_16,93_1,93,16,멋진 말로 시티뷰 그냥 허전한 건물들에 중요한건 불친절합니다 무엇이던 정해진것 이외에 베게가 너무 낮아 하나만 더달라고 해도 안되요 무엇이던 안되요 당황했어요 외국에서 온 손님인데 미안함 가득으로 좋은 점 조용합니다 조식안됨 수영장 금시초문 이상입니다
93_1_17,93_1,93,17,전체적으로 깔끔하고 쾌적하고 특히 발코니에 편백탕 등 민족스럽습니다 단점을 찾을 수 없는 게 단점이라고 봐야할까요?
93_1_18,93_1,93,18,"주차직원도, 아기가드 설치직원도 너무 친절하시고 방문 열자마자 쾌쾌한 냄새 전혀없이 깔끔하고 바닥도 따뜻해서 기분이 좋았습니다. 화장실도 깨끗, 샤워부스쪽도 넓고 히노키욕조도 아기가 놀기 좋았고 편백향이 솔솔납니다~ 침대도 허리배김없이 잘자서 너무나도 만족한 숙소였습니다~"
93_1_19,93_1,93,19,"2인C세트 주문했습니다! 파스타, 리조또 전부 다 맛나요~~ 진짜 순삭했습니다 근데 살치살 스테이크는 미디움웰던으로 주문해서 핏기는 어느정도 있는데도 불구하고 너무 뻑뻑해서 별로였어요.. B세트처럼 등심이였으면 참 좋았을텐데요.. 아님 추가금내고 등심으로 메뉴변경이 있었으면 좋겠어요 창가자리는 예약 꽉차서 못앉았지만.. 그래도 분위기도좋고 깨끗해서 맘에들어요^^"
93_1_20,93_1,93,20,3시입실을 정확히 지켜주셔서 조금 일찍도착했지만 유료얼리체크인이라는 말씀에 조금은 아쉽지만 룸컨디션과 뷰 모두 엄지척이에요 호텔근처 거주라서 지인들과 연말파티했구요 내년에도 어반이스트에서 함께하기로 약속했어요 친절하신 직원분들과 주차직원분들 추운날씨에 애써주셔서 고맙습니다
93_1_21,93_1,93,21,깔끔하고 휴식하기 좋아요
93_1_22,93_1,93,22,가성비 좋습니다. 추가수건도 넉넉히 주시고 기계식 주차도 해줍니다. 냉장고 큽니다 주변에 먹자골목있어 편리합니다
93_1_23,93_1,93,23,아이 두명과 갔어요. 7살 2살. 침대 가드 부탁드렸더니 해주셨고. 친절하게 응대해주셨어요^^ 큰 아이는 또 가고 싶다며.!!^^ 너무 좋은 추억 만들고 갑니다♡
93_1_24,93_1,93,24,특별한날 가기에 좋네요
93_1_25,93_1,93,25,근처에 먹을 데도 많고 방이 생각보다 커서 좋았습니다. 신축이라 깔끔하고 냉장고도 공간이 넉넉했어요~ 난방도 적절히 잘 되고 베란다도 생각보다 춥지 않아서 쉬기 좋았습니다. 근교에 쉬러 호캉스 계획할 때 또 오고 싶네요
93_1_26,93_1,93,26,어머니 대신 예약해드렸는데 세분이서 아주 만족하셨다고 합니다. 나중에 얼마로 오를지 모르겠지만 저도 이용해보고싶네요~
93_1_27,93_1,93,27,배겅 굿
93_1_28,93_1,93,28,편히 잘 쉬었어요
93_1_29,93_1,93,29,모임하기 좋고 음식이 맛있어요
93_1_30,93_1,93,30,아이랑 따뜻하게 잘잤습니다 가성비 호텔로 인정^^
93_2_1,93_2,93,1,"출장겸 미리 예약했던 곳인데, 여기 룸컨디션 너무 좋아요! 조용하고 주변에 먹거리 상권도 많아요👍"
