reviewid,storeid,searchid,reviewidx,reviewtxt
94_1_1,94_1,94,1,벚꽃이 만발한 오늘 소노캄 스벅에 왔어요❣️ 샌드위치도 30% 할인 아메리카노도 30% 할인 별은 4개 적립😊 시간 될 때 잠깐 들려서 쉬다 가요 편하고 좋아요❣️ 소노캄 호텔 화장실 이용할 수 있어서 좋고 고급스런 향기 나서 더 좋아요🥰 커피도 넘 맛있어요❣️ 파트너님들도 친절하세요❣️
94_1_2,94_1,94,2,생각도 못했는데 이런 이벤트가~ 멜론맛 푸라프치노 달콤! ❛◡ુ❛
94_1_3,94_1,94,3,"고양시 방문시 선택하면 좋을 숙소입니다. 현대백화점킨텍스점,킨텍스,일산호수공원,고양종합운동장 등등 도보로 이용하거나 대중교통이용하기 편합니다. 웨스트와 이스트동으로 나누어져있고 호캉스를 즐기기엔 이스트동이 더 좋은거 같습니다. 웨스트의 장점은 스타벅스가 가깝다는 것 입니다.  반려견동반객실과 함께 즐길 수 있는 객실이 있어서 애견인들에게도 좋은 호텔입니다.  침구랑 객실컨디션 좋았고 방음과 환기가 잘됩니다. 데스크직원분들 친절하십니다.  헬스장은 규모가 작으나 사우나시설이 잘되어있습니다. 다음에도 여행온다면 다시 선택해서 숙박할거같아요."
94_1_4,94_1,94,4,소노캄 스벅 넘 좋아요❣️ 오늘은 gtx a 타고 왔는데 넘 빨리 도착해서 신기했어요🥰 소노캄 스벅 자주 왔는데 오랜만에 리뷰를 써요 파트넘분들도 친절하시고 편히 쉬다 갈 수 있어서 넘 좋아요❣️
94_1_5,94_1,94,5,"1년만에 2번째 방문! 여전히 직원분들 친절하시고, 조식도 최고입니다. 10분정도 걸으면 주변 놀거리도 많습니다. 2박3일 정말, 최상으로 힐링하고 왔습니다."
94_1_6,94_1,94,6,소노캄 스타벅스 넓고 친절해서 좋아요
94_1_7,94_1,94,7,호텔안에있어선지 고급스러워요 사람은 많은데 많이 시끄럽진않았고 직원분들이 다 친절하셔서 기분좋은 카페였습니다
94_1_8,94_1,94,8,스타벅스에서 커피마시구 선물받앗어요.이뻐요
94_1_9,94_1,94,9,소노캄 안에 있는 스타벅스에서 케이크 주문했어요~ 고구마케이크와 피스타치오 케이크! 너무 맛있어요. ❛◡ુ❛
94_1_10,94_1,94,10,방탄콘서트로 고양시에 처음 방문했어요. 오래된 신도시라지만 도시가 깨끗하고 쾌적한 느낌이 좋았고 소노캄은 직원분들 친절하시고 고양시 유일한 5성급이긴한데 치명적인 단점은 옆 방 관계하는 소리가 들려요..
94_1_11,94_1,94,11,깨끗하고 친절해서 좋아요~
94_1_12,94_1,94,12,웨스트타워 수페리어 더블룸 이용했어요! 체크인은 이스트타워에서 하셔야 하지만 연결통로가 있습니다 ◡̈ 얼리 체크인은 따로 안 되는 것 같고 15시에 딱 맞춰서 해주시는데 직원분들 넘 친절하시고! 방 컨디션 너무 깨끗하고 ㅜㅜ 요근래 갔던 호텔들 중 제일 만족했습니다 🤍
94_1_13,94_1,94,13,- 구매품목 : 아이스아메리카노 - 기타 : 매우 친절하고 매장도 너무 쾌적하고 좋아요.
94_1_14,94_1,94,14,딸기 🍓 부페는 처음입니다. 먹을 게 없으면 어쩌나 걱정했는데 착석하면 바로 부르기뇽과 감바스 중 주문받고 가져다 줍니다. 음료수는 샴페인이나 딸기라떼중 하나를 가져다 줍니다. 파스타 샐러드 복음밥 닭고기 치즈 연어 스프 등 디저트 외에도 먹을 거리가 있네요. 직원분들 매우 친절합니다. 나갈 때 잼도 선물로 주네요. 분위기도 좋아서 또 오고 싶네요~
94_1_15,94_1,94,15,딸래미랑 신랑이랑 하루 잘쉬고 왔어요 조용합니다 집근처라 가까워요 침대는 작지만 방은 큰편입니다 화장실은 작은편이지만 씻는데 안불편했어요 한가로이 쉬기 편해요
94_1_16,94_1,94,16,처음 방에 들어갔을 때 퀴퀴한 습기 냄새가 났지만 에어컨 키고 환기하니 괜찮아졌어요 침구가 편했습니다 피트니스 센터에서 운동복 대여할 수 있는 것도 좋네요
94_1_17,94_1,94,17,잘 쉬었다 갑니다.
94_1_18,94_1,94,18,너무 깨끗하고 쉬기 좋았어요~ 조식도 맛있고👍 짧게나마 잘 쉬다가 왔습니다!
