reviewid,storeid,searchid,reviewidx,reviewtxt
95_1_1,95_1,95,1,콜드 플레이 보러 종합운동장과 가까워서 숙박했습니다 침구류 깨끗하고 조식맛있습니다 단점이라면 방음이 엄청 잘되는편은 아니고 현관(?) 같은 개념이 없고 아 수건걸이가 없어요. 그래도 친절하고 주차도 편해서 재방문 의사 있어요
95_1_2,95_1,95,2,호텔에 체크인하면서 영화도 같이 결제했습니다. 영화관을 단 둘이 빌린 느낌이라서 좋았습니다. 조용히 영화 관람하고 싶은 분들은 여기로 오시면 됩니다^^
95_1_3,95_1,95,3,크리스마스이브에 한 건물에서 영화도 보고 숙소도 깨끗하고 너무 좋네요~ 연말에 좋은 숙소에서 프라이빗 영화까지 일석이조 행복한 연말이네요~~또 올거 같아요.
95_1_4,95_1,95,4,
95_1_5,95_1,95,5,샤워기 틀고나서 수 분이 되지 않아 발등이 다 잠길 정도로 물이 빠지지 않았습니다. 샤워가 끝날 때쯤에는 방까지 물이 흘러갔습니다. 지내는 동안 매우 불편했습니다.
95_1_6,95_1,95,6,에어컨 시원하게 나오고 침대도 푹신푹신해요 화장실 샤워부스가 물이 사방으로 튀는 구조고 좁은게 단점 딱 잠만 자기 좋습니다 킨텍스랑 가까운게 가장 압도적인 장점 룸서비스 시킬만한건 없고 배달은 1층에서 수령가능 짐 맡기는 곳이 있지만 지키는 사람이 없고 그냥 창고라 고가품이 들어있으면 꺼려지기는 하지만 일단 짐 던져둘 장소가 있다는 것 자체가 좋긴 합니다
95_1_7,95_1,95,7,
95_1_8,95_1,95,8,회사 출장으로 숙박하게 되었는데 직원분들이 너무 친절하시고 숙소 컨디션도 깔끔하네요!! 다음에도 꼭 여기로 오겠습니다!!
95_1_9,95_1,95,9,"킨텍스 행사 왔다가 하루 머문 '킨텍스 바이 케이트리'~ 일단 행사장과 거리가 아주 가까워 좋았고, 2층에 자리한 모노플렉스에서 개봉작 '하이재킹'을 관람했습니다! 숙소에만 있었다면 다소 지루했을 밤 시간~ 컨디션 좋은 모노플렉스에서 즐겁게 보낼 수 있었어요^^ 다음에 킨텍스 행사 있을때 또 오려고요."
95_1_10,95_1,95,10,조식 먹으러 방문했어요 가성비 좋네요
95_1_11,95_1,95,11,직원들이 친절하고 모노플렉스 영화관 너무 좋아요❤️
95_1_12,95_1,95,12,영화를 아주 편하게 잘 봤어요
95_1_13,95_1,95,13,"일산 킨텍스 바로 옆, 현대모터스튜디오 고양 뒷편 킨텍스전시장 공영주차장 바로 뒷편에 위치한 킨텍스 바이 케이트리 호텔은 주변에 현대백화점 킨텍스점이 위치해있으니 비즈니스 목적으로 또는 가족들과 함께 호캉스 즐기기에도 괜찮은 가성비 만족스러운 일산 호텔 추천해드리기에 충분하네요. 1층 편의점이랑 삼겹살 전문점 그리고 2층 전자레인지, 다리미 가능한 비즈니스센터와 헬스장, 영화관 그리고 16층 루프탑 더옥상에서 시원한 생맥주, 칵테일 한잔 하는 여유와 맛있는 조식뷔페까지 다양한 편의시설과 서비스를 이용할수 있으니 일산 비즈니스 호텔 딱이네요. 물론 위생적으로 세탁 다리미질까지 되어진 편한한 베드컨디션이랑 알찬 공간 활용해준 객실의 편안한 인테리어까지 장기 투숙을 하기에도 괘찮은 일산 숙소 추천해드릴수 있네요."
95_1_14,95_1,95,14,검색했을땐 그럴싸 했었는데 도착하고 보니 너무 작아서 그냥 나가자고 했는데 이미 늦은시간에 체크인이라 하룻밤 불편하게 지내기로 했어요  가뜩이나 방도 작아서 불만인데 커튼은 너덜너덜 제대로 닫히지도 않고 타올걸이 파손되어 있고 침대 귀퉁이에 전화기 먼지 투성이 가운은 벨트도 없고 그나마 주머니도 뜯어져 있어서 입으라는건지 말라는건지 배수도 안되고ㅠㅠ 청소 좀 깨끗히 하시라고 팁2만원 놓고 왔습니다 쉬러 가는건데 불편하면 안되잖아요?
