storeid,searchid,wide_area,basic_area,keyword,storename,category,rating,review_cnt,address,url,img_url,visit_type,lng,lat,review_participant,honbab_cnt
93_1,93,경기도,덕양구,경기도 덕양구 놀곳,꽃우물 블루베리 농장,주말농장,,10,경기 고양시 덕양구 대주로84번길 190-42,https://map.naver.com/p/entry/place/1706793403?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200707_297%2F1594128803335nSCPl_JPEG%2FcPtrHVBT8GnOGgu8XXqvRoQ9.jpg,혼놀,126.8264973,37.6410863,,
93_2,93,경기도,덕양구,경기도 덕양구 놀곳,아쿠아필드 고양,워터파크,4.48,"17,265",경기 고양시 덕양구 고양대로 1955 스타필드 고양 4층,https://map.naver.com/p/entry/place/1555184750?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250723_124%2F17532376025986ffkU_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6_%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA.jpg,혼놀,126.8963730,37.6485370,,
93_3,93,경기도,덕양구,경기도 덕양구 놀곳,통일워터파크,워터파크,4.38,279,경기 고양시 덕양구 대양로 25,https://map.naver.com/p/entry/place/1625114161?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA3MTdfMTEy%2FMDAxNTMxODIxOTA4NjQx.QL4Qf56uc2mZVjsQfEND7hWT46wt09zaHnY65uN_yiAg.x1FiT80lL5Ab9KAqpPEu2oivlDXG8d3D5IzyjjZLTSYg.JPEG.songi8145%2Foutput_227683906.jpg,혼놀,126.8755003,37.6894068,,
93_4,93,경기도,덕양구,경기도 덕양구 놀곳,고양어린이박물관,박물관,4.31,516,경기 고양시 덕양구 화중로 26 고양어린이박물관,https://map.naver.com/p/entry/place/33997463?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250120_242%2F17373616924082jdUK_JPEG%2F2025%25B3%25E2%25B3%25D7%25C0%25CC%25B9%25F6%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA%25BB%25E7%25C1%25F8.jpg,혼놀,126.8314982,37.6295243,,
93_5,93,경기도,덕양구,경기도 덕양구 놀곳,고양워터파크,워터파크,,208,경기 고양시 덕양구 호국로 1475 고양워터파크,https://map.naver.com/p/entry/place/1220275257?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240708_133%2F1720431580251hlt3J_JPEG%2F20240707_112302.jpg,혼놀,126.8991380,37.6832870,,
93_6,93,경기도,덕양구,경기도 덕양구 놀곳,쥬쥬랜드,동물원,4.35,"4,393",경기 고양시 덕양구 원당로458번길 7-42 쥬쥬랜드,https://map.naver.com/p/entry/place/1008136590?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250604_169%2F1749023238266MwCtr_JPEG%2FKakaoTalk_20250604_164616458.jpg,혼놀,126.8543740,37.6895077,,
93_7,93,경기도,덕양구,경기도 덕양구 놀곳,한국항공대학교 항공우주박물관,박물관,,95,경기 고양시 덕양구 항공대학로 76-9 한국항공대학교 항공우주박물관,https://map.naver.com/p/entry/place/11608349?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220928_161%2F1664330649763ET0cz_JPEG%2F%25C7%25D7%25B0%25F8%25B4%25EB%25C0%25FC%25B0%25E6%25BB%25E7%25C1%25F8_2%25C2%25F7_2.jpg,혼놀,126.8657833,37.6001016,,
93_8,93,경기도,덕양구,경기도 덕양구 놀곳,북한산,산,,211,경기 고양시 덕양구 대서문길 375,https://map.naver.com/p/entry/place/11491416?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_19%2F1440992261985dEXsH_JPEG%2F11491416_0.jpg,혼놀,126.9780617,37.6587386,,
93_9,93,경기도,덕양구,경기도 덕양구 놀곳,데이캠파크 고양점,체험여행,,24,경기 고양시 덕양구 호국로1907번길 202,https://map.naver.com/p/entry/place/1607165736?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230728_191%2F16905091342934FKXc_JPEG%2F%25C4%25AB%25C5%25E5%25BB%25F3%25B4%25E3.jpg,혼놀,126.9234384,37.7188180,,
93_10,93,경기도,덕양구,경기도 덕양구 놀곳,배다골 테마파크,테마파크,4.2,"1,775",경기 고양시 덕양구 배다골길 131,https://map.naver.com/p/entry/place/787187760?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20240522_109%2F171635926461148Aq0_JPEG%2F%25B9%25E8%25B4%25D9%25B0%25F1_%25C0%25CC%25C0%25FC.jpg,혼놀,126.8483459,37.6300464,,
