storeid,searchid,wide_area,basic_area,keyword,storename,category,rating,review_cnt,address,url,img_url,visit_type,lng,lat,review_participant,honbab_cnt
12_1,12,서울특별시,은평구,서울특별시 은평구 놀곳,진관사계곡,계곡,4.43,48,서울 은평구 진관동,https://map.naver.com/p/entry/place/18693189?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles11.naver.net%2F20140811_74%2Fpgshan2006_14077554882811Jp1g_JPEG%2F_DSC1303.JPG,혼놀,,,,
12_2,12,서울특별시,은평구,서울특별시 은평구 놀곳,은평한옥마을,체험마을,4.21,220,서울 은평구 연서로50길 7-10,https://map.naver.com/p/entry/place/37825869?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODA2MTlfMTI4%2FMDAxNTI5MzczODg3OTM1.qAfeEOmShtl2xNr9SL_hG1t1fnS9cweTVJPyqiF4Y6Qg.dlnPi-uEIkLSb7mXehWAvWtbq91NxKPTrkXZ8MlzXv8g.JPEG.dream9494%2F20180617_173633.jpg,혼놀,126.9384815,37.6422801,,
12_3,12,서울특별시,은평구,서울특별시 은평구 놀곳,은평역사한옥박물관,박물관,4.45,702,서울 은평구 연서로50길 8 은평역사한옥박물관,https://map.naver.com/p/entry/place/34350721?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171024_291%2F1508818937326nLKAc_JPEG%2FJvTwmKKQO5s_AhkkS-ZjL47L.JPG,혼놀,126.9385205,37.6401330,,
12_4,12,서울특별시,은평구,서울특별시 은평구 놀곳,삼천사계곡,계곡,,13,서울 은평구 진관동 25-2,https://map.naver.com/p/entry/place/13496669?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzA3MDFfMTY4%2FMDAxNjg4MTk2NzIyMDMx.EOYiTeRnt1JfuRniQj0dPg0yJYU5yl_Cq0quyULIrKgg.G6-cRgo6S2ApnkEEIcHdRz88qXn8_ZgSLh_UpW9A9TAg.JPEG.ckn7138%2F20230628_172318.jpg,혼놀,126.9560800,37.6402817,,
12_5,12,서울특별시,은평구,서울특별시 은평구 놀곳,이말산,산,,6,서울 은평구 진관동,https://map.naver.com/p/entry/place/18693396?placePath=%2Fhome,,혼놀,,,,
12_6,12,서울특별시,은평구,서울특별시 은평구 놀곳,다문화박물관,박물관,4.4,239,서울 은평구 불광로 135,https://map.naver.com/p/entry/place/13290447?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250730_280%2F1753863825242HJU2b_PNG%2F8%25BF%25F99%25C0%25CF_%25B0%25FC%25B6%25F7_%25B8%25B6%25B0%25A8%25BE%25C8%25B3%25BB_%25C0%25CE%25BD%25BA%25C5%25B8.png,혼놀,126.9328023,37.6188377,,
12_7,12,서울특별시,은평구,서울특별시 은평구 놀곳,북한산둘레길8구간(구름정원길),도보코스,,23,서울 은평구 불광동 산4-5,https://map.naver.com/p/entry/place/20071995?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAxODExMjFfMTU3%2FMDAxNTQyNzk4ODM0MDIx.O3gF8rrQu0u1Jc206S_jIrtwXAzEgb627pCHnT3H5aUg.YL8_i6gGFbmyMe4e-4j3ifbmt5azwUVh3UqN6FhcjHYg.JPEG.jss19732%2F181009_029.jpg,혼놀,126.9327529,37.6249417,,
12_8,12,서울특별시,은평구,서울특별시 은평구 놀곳,증산체육공원,"도시,테마공원",,8,서울 은평구 증산로5길 35-27,https://map.naver.com/p/entry/place/18692418?placePath=%2Fhome,,혼놀,,,,
12_9,12,서울특별시,은평구,서울특별시 은평구 놀곳,진관사,"절,사찰",,13,서울 은평구 진관길 73 진관사,https://map.naver.com/p/entry/place/12768095?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_296%2F1441018525697bzgSL_JPEG%2F96072556635233_0.jpg,혼놀,126.9464080,37.6379117,,
12_10,12,서울특별시,은평구,서울특별시 은평구 놀곳,봉산 편백나무 치유의 숲,"휴양림,산림욕장",,18,서울 은평구 은평터널로9가길 9-13,https://map.naver.com/p/entry/place/1840761224?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220309_5%2F1646835589345FiB1A_JPEG%2F20220309_104538.jpg,혼놀,126.9018950,37.5951683,,
