storeid,searchid,wide_area,basic_area,keyword,storename,category,rating,review_cnt,address,url,img_url,visit_type,lng,lat,review_participant,honbab_cnt
94_1,94,경기도,일산동구,경기도 일산동구 놀곳,하디르 커피,"카페,디저트",,"1,910",경기 고양시 일산동구 무궁화로187번길 8-16 1층,https://map.naver.com/p/entry/place/1023505154?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fsearch.pstatic.net%2Fcommon%2F%3FautoRotate%3Dtrue%26quality%3D95%26type%3Dw750%26src%3Dhttps%253A%252F%252Fldb-phinf.pstatic.net%252F20220127_218%252F16432516781579F3tn_JPEG%252F8F3E41CE-C470-433B-B22E-45798198E34C.jpeg,혼놀,126.7822512,37.6718496,,
94_2,94,경기도,일산동구,경기도 일산동구 놀곳,케이시켈리 식사본점,브런치카페,,686,경기 고양시 일산동구 위시티1로 6-19 케이시켈리,https://map.naver.com/p/entry/place/1752255590?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fsearch.pstatic.net%2Fcommon%2F%3FautoRotate%3Dtrue%26quality%3D95%26type%3Dw750%26src%3Dhttps%253A%252F%252Fldb-phinf.pstatic.net%252F20231013_40%252F1697193572433zpvDU_JPEG%252FResized_20231011_100956_QEVBWBGJHAAEIFBCAJCCEGDIEA.jpeg,혼놀,126.8087205,37.6749937,,
94_3,94,경기도,일산동구,경기도 일산동구 놀곳,소개울제빵소,베이커리,,"2,983",경기 고양시 일산동구 소개울길 26,https://map.naver.com/p/entry/place/1433572274?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221110_263%2F1668088544129w1k1J_JPEG%2F1668075786802.jpg,혼놀,126.7887206,37.6829218,,
94_4,94,경기도,일산동구,경기도 일산동구 놀곳,곤트란쉐리에 일산차병원점,베이커리,,"5,695",경기 고양시 일산동구 중앙로 1205 일산차병원 1층,https://map.naver.com/p/entry/place/1060362304?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200621_83%2F1592732331724XTTAV_JPEG%2FToJb0VRgwT9Nk8f8off54SS3.jpg,혼놀,126.7752075,37.6541487,,
94_5,94,경기도,일산동구,경기도 일산동구 놀곳,스타벅스 일산동구청점,카페,4.49,"5,609",경기 고양시 일산동구 정발산로 38 (장항동),https://map.naver.com/p/entry/place/30805543?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,혼놀,126.7725313,37.6569443,,
94_6,94,경기도,일산동구,경기도 일산동구 놀곳,3공장,"카페,디저트",,376,경기 고양시 일산동구 강송로125번길 29 101호,https://map.naver.com/p/entry/place/1894156910?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240121_56%2F17058260339496pEQJ_JPEG%2FKakaoTalk_20240121_173322938_02.jpg,혼놀,126.7846068,37.6493999,,
94_7,94,경기도,일산동구,경기도 일산동구 놀곳,구구루,"카페,디저트",,"1,365",경기 고양시 일산동구 강송로87번길 7-5 1층,https://map.naver.com/p/entry/place/1428975993?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fsearch.pstatic.net%2Fcommon%2F%3FautoRotate%3Dtrue%26quality%3D95%26type%3Dw750%26src%3Dhttps%253A%252F%252Fldb-phinf.pstatic.net%252F20250803_184%252F1754185198400I55mJ_JPEG%252F005CCB6D-19BF-445B-9779-C83659884E4B.jpeg,혼놀,126.7888453,37.6471771,,
94_8,94,경기도,일산동구,경기도 일산동구 놀곳,체인지그린 커피 밤리단길점,"카페,디저트",,751,"경기 고양시 일산동구 산두로175번길 29 1층, 지하1층",https://map.naver.com/p/entry/place/1097131317?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231014_268%2F1697268543256sI8hB_JPEG%2F%25BB%25E7%25C0%25E5%25B4%25D4%25C7%25C85.jpg,혼놀,126.7819438,37.6725456,,
94_9,94,경기도,일산동구,경기도 일산동구 놀곳,뒤뜰,카페,4.31,"1,975",경기 고양시 일산동구 애니골길 62-7 카페뒤뜰,https://map.naver.com/p/entry/place/37905404?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180928_208%2F1538133375422APBci_JPEG%2Fwku7zZqGsMFAJqoxMjvVseg2.jpg,혼놀,126.7922549,37.6733084,,
94_10,94,경기도,일산동구,경기도 일산동구 놀곳,케이크시즌 밤리단길카페 일산본점,케이크전문,,"1,706",경기 고양시 일산동구 일산로463번길 65 1층 케이크시즌 밤리단길카페 일산본점,https://map.naver.com/p/entry/place/1639765206?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241026_254%2F1729927268798vvtYR_JPEG%2F%25B0%25A3%25C6%25C7%25BB%25E7%25C1%25F8.jpg,혼놀,126.7738225,37.6715435,,
