storeid,searchid,wide_area,basic_area,keyword,storename,category,rating,review_cnt,address,url,img_url,visit_type,lng,lat,review_participant,honbab_cnt
95_1,95,경기도,일산서구,경기도 일산서구 놀곳,아쿠아가든 일산,"카페,디저트",,"2,800",경기 고양시 일산서구 일중로 9 아쿠아가든 일산,https://map.naver.com/p/entry/place/1209562743?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250220_174%2F1739983749912TNcog_PNG%2FKakaoTalk_20250220_014710444.png,혼놀,126.7739617,37.6809490,,
95_2,95,경기도,일산서구,경기도 일산서구 놀곳,명장텐,베이커리,4.34,"8,978",경기 고양시 일산서구 하이파크로 145,https://map.naver.com/p/entry/place/1241505459?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230711_46%2F1689037498527uqWYv_JPEG%2F%25B8%25C5%25C0%25E5-%25BF%25DC%25BA%25CE%25BB%25E7%25C1%25F8.jpg,혼놀,126.7568467,37.7034308,,
95_3,95,경기도,일산서구,경기도 일산서구 놀곳,스퀘어81,"카페,디저트",,"1,830",경기 고양시 일산서구 중앙로 1371 뉴서울프라자 3층,https://map.naver.com/p/entry/place/1217351504?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221124_89%2F1669280460841BeKDT_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AFKO1_0805.jpg,혼놀,126.7664798,37.6669696,,
95_4,95,경기도,일산서구,경기도 일산서구 놀곳,하우스플랜 현대백화점킨텍스점,브런치카페,,"1,234",경기 고양시 일산서구 호수로 817 현대백화점 5F,https://map.naver.com/p/entry/place/1348753191?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fsearch.pstatic.net%2Fcommon%2F%3FautoRotate%3Dtrue%26quality%3D95%26type%3Dw750%26src%3Dhttps%253A%252F%252Fldb-phinf.pstatic.net%252F20240911_2%252F17260650744176jdwC_JPEG%252F04DD9810-898A-40F1-915D-48CD495BF2E6.jpeg,혼놀,126.7506053,37.6684785,,
95_5,95,경기도,일산서구,경기도 일산서구 놀곳,스타벅스 일산주엽점,카페,4.46,"5,606",경기 고양시 일산서구 중앙로 1420 1층 (주엽동),https://map.naver.com/p/entry/place/33331847?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,혼놀,126.7625725,37.6697019,,
95_6,95,경기도,일산서구,경기도 일산서구 놀곳,우스블랑 일산,베이커리,,345,경기 고양시 일산서구 일현로 97-11 1층 170호,https://map.naver.com/p/entry/place/1116380991?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250625_218%2F1750845532293OtVlM_JPEG%2F%25B5%25A8%25B8%25AE%25BB%25E7%25C1%25F8.jpg,혼놀,126.7615793,37.6942617,,
95_7,95,경기도,일산서구,경기도 일산서구 놀곳,공 갤러리 카페,"카페,디저트",4.51,"1,245","경기 고양시 일산서구 송산로 387-18 1, 2층",https://map.naver.com/p/entry/place/1709887806?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210104_117%2F1609732714833OaJPr_JPEG%2FMDQUrQqqe-HF2qSj30lu0dGQ.jpg,혼놀,126.7223300,37.6859298,,
95_8,95,경기도,일산서구,경기도 일산서구 놀곳,파스쿠찌 일산DI점,카페,4.51,"2,986",경기 고양시 일산서구 일산로 646 (대화동),https://map.naver.com/p/entry/place/1786069826?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200803_218%2F15964665450115DbaA_JPEG%2FCZQj3CjjBX9MqjVnJ7LaM4g8.jpeg.jpg,혼놀,126.7574841,37.6823221,,
95_9,95,경기도,일산서구,경기도 일산서구 놀곳,스타벅스 대화역점,카페,4.45,"5,369",경기 고양시 일산서구 중앙로 1559 시티타워 1~2층 (대화동),https://map.naver.com/p/entry/place/33964173?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,혼놀,126.7484596,37.6756552,,
95_10,95,경기도,일산서구,경기도 일산서구 놀곳,안스베이커리 일산점,베이커리,4.33,"3,916",경기 고양시 일산서구 한류월드로 300 1100호,https://map.naver.com/p/entry/place/1867022622?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250715_177%2F1752564788332Rwg2g_JPEG%2F%25BD%25BA%25B8%25B6%25C6%25AE%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25C0%25CF%25BB%25EA_4.jpg,혼놀,126.7532837,37.6642042,,
