storeid,searchid,wide_area,basic_area,keyword,storename,category,rating,review_cnt,address,url,img_url,visit_type,lng,lat,review_participant,honbab_cnt
95_1,95,경기도,일산서구,경기도 일산서구 맛집,다이닝원 일산탄현점,"일식,초밥뷔페",,29,경기 고양시 일산서구 일현로 97-11 지하1층,https://map.naver.com/p/entry/place/2032283796?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250801_266%2F1754048132645V60Ka_JPEG%2FKakaoTalk_20250801_203315376_07.jpg,혼밥,126.7637379,37.6938796,,
95_2,95,경기도,일산서구,경기도 일산서구 맛집,샤브더차린 일산킨텍스 본점,"육류,고기요리",,99,경기 고양시 일산서구 주엽로 80 A동 2층 201호~206호,https://map.naver.com/p/entry/place/2078670992?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fsearch.pstatic.net%2Fcommon%2F%3FautoRotate%3Dtrue%26quality%3D95%26type%3Dw750%26src%3Dhttps%253A%252F%252Fldb-phinf.pstatic.net%252F20250530_177%252F1748595256134nyHMD_JPEG%252FIMG_4805.jpeg,혼밥,126.7567443,37.6665615,,
95_3,95,경기도,일산서구,경기도 일산서구 맛집,장어미식가,"장어,먹장어요리",4.26,"2,656",경기 고양시 일산서구 하이파크3로 34 장어미식가,https://map.naver.com/p/entry/place/36410581?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240902_217%2F1725278082302S0BhJ_JPEG%2F1000014269.jpg,혼밥,126.7530356,37.6943468,,
95_4,95,경기도,일산서구,경기도 일산서구 맛집,하이청양꼬치&훠궈,양꼬치,4.81,906,경기 고양시 일산서구 주화로 76,https://map.naver.com/p/entry/place/1424485739?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210410_274%2F1618038039719tdmPb_JPEG%2FIMG_2598.JPG,혼밥,126.7598898,37.6701234,,
95_5,95,경기도,일산서구,경기도 일산서구 맛집,임사부중식주점몽콕 대화역본점,중식당,,346,"경기 고양시 일산서구 일산로 774 106, 107호",https://map.naver.com/p/entry/place/1399081768?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250426_206%2F1745625156974JDHG1_JPEG%2F1745625147322.jpg,혼밥,126.7488158,37.6747519,,
95_6,95,경기도,일산서구,경기도 일산서구 맛집,샤브올데이 일산대화점,샤브샤브,,782,"경기 고양시 일산서구 중앙로 1547 201, 207호",https://map.naver.com/p/entry/place/1022720479?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250806_14%2F1754468159689BCU9q_JPEG%2F%25B1%25E8%25BF%25EC%25BA%25F3.jpg,혼밥,126.7497178,37.6751168,,
95_7,95,경기도,일산서구,경기도 일산서구 맛집,동두천솥뚜껑삼겹살 탄현역점,돼지고기구이,,"2,601",경기 고양시 일산서구 일현로 35 1층 102호,https://map.naver.com/p/entry/place/1903454873?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240718_300%2F1721302065174zT2VC_JPEG%2F%25B9%25CC%25B3%25AA%25B8%25AE_%25B9%25DD%25B9%25DD_%25281%2529.jpg,혼밥,126.7623733,37.6904254,,
95_8,95,경기도,일산서구,경기도 일산서구 맛집,오실장강남면옥 주엽점,냉면,4.42,"1,415","경기 고양시 일산서구 중앙로 1493 1층 1001-7,8",https://map.naver.com/p/entry/place/1896137961?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230713_165%2F16892216886490NiKO_JPEG%2FKakaoTalk_20230306_141858825_05.jpg,혼밥,126.7561513,37.6721007,,
95_9,95,경기도,일산서구,경기도 일산서구 맛집,아웃백스테이크하우스 일산원마운트점,패밀리레스토랑,,"7,103",경기 고양시 일산서구 한류월드로 300 원마운트몰 2층 아웃백,https://map.naver.com/p/entry/place/36139655?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250616_208%2F1750036918294luhjh_PNG%2F1.-%25B8%25DE%25B4%25BA%25BA%25CF-%25C4%25BF%25B9%25F6%2528%25B8%25AE%25B0%25C9%25B6%25F3%25C0%25CE1%2529.png,혼밥,126.7539020,37.6651041,,
95_10,95,경기도,일산서구,경기도 일산서구 맛집,가야밀면돼지국밥 일산본점,가야밀면,4.4,"1,526","경기 고양시 일산서구 호수로856번길 8-9 (신관), 8-11(구관)",https://map.naver.com/p/entry/place/1590592351?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210321_187%2F16163099953614QcKj_JPEG%2F475MugyCwyyAxbfrB2TtIPNL.jpg,혼밥,126.7485911,37.6707312,,
95_11,95,경기도,일산서구,경기도 일산서구 맛집,대박각,중식당,4.74,"1,321",경기 고양시 일산서구 강성로 115 금강빌딩 115호,https://map.naver.com/p/entry/place/1199534829?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fsearch.pstatic.net%2Fcommon%2F%3FautoRotate%3Dtrue%26quality%3D95%26type%3Dw750%26src%3Dhttps%253A%252F%252Fldb-phinf.pstatic.net%252F20250504_197%252F1746322381545HrRDK_JPEG%252FIMG_0259.jpeg,혼밥,126.7628580,37.6701070,,
95_12,95,경기도,일산서구,경기도 일산서구 맛집,맥도날드 고양덕이DT점,햄버거,,"1,211",경기 고양시 일산서구 경의로 914,https://map.naver.com/p/entry/place/1140312125?placePath=%2Fhome,,혼밥,126.7592305,37.6990665,,
95_13,95,경기도,일산서구,경기도 일산서구 맛집,소담촌 주엽점,샤브샤브,4.49,"2,627",경기 고양시 일산서구 중앙로 1496 1층 소담촌 주엽롯데마트점,https://map.naver.com/p/entry/place/1824279483?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221221_57%2F16716225335850M7bw_JPEG%2FKakaoTalk_20221216_173323115_01.jpg,혼밥,126.7549458,37.6730476,,
95_14,95,경기도,일산서구,경기도 일산서구 맛집,밍차이,중식당,4.57,"2,340",경기 고양시 일산서구 킨텍스로 255 일산디엠시티 스카이뷰 103동 1층 130 호,https://map.naver.com/p/entry/place/1728871173?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210812_204%2F1628727153345BOySs_JPEG%2F1_atGq8reYWV-wCabgk-5C-L.jpg,혼밥,126.7496850,37.6681830,,
