storeid,searchid,wide_area,basic_area,keyword,storename,category,rating,review_cnt,address,url,img_url,visit_type,lng,lat,review_participant,honbab_cnt
93_1,93,경기도,덕양구,경기도 덕양구 맛집,가나안국수,국수,4.23,"2,919",경기 고양시 덕양구 행주로15번길 16,https://map.naver.com/p/entry/place/35560280?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250709_259%2F1752027059341OiSEH_JPEG%2Fmongsang00017.jpg,혼밥,126.8278543,37.6010737,,
93_2,93,경기도,덕양구,경기도 덕양구 맛집,정육식당 육국 고양화정점,"육류,고기요리",,902,경기 고양시 덕양구 화신로260번길 36 1층 정육식당 육국 고양화정점,https://map.naver.com/p/entry/place/1979997606?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fsearch.pstatic.net%2Fcommon%2F%3FautoRotate%3Dtrue%26quality%3D95%26type%3Dw750%26src%3Dhttps%253A%252F%252Fldb-phinf.pstatic.net%252F20250526_281%252F1748258307227tj973_JPEG%252FIMG_0105.jpeg,혼밥,126.8330899,37.6318984,,
93_3,93,경기도,덕양구,경기도 덕양구 맛집,온다스시 고양화정점,"초밥,롤",,304,"경기 고양시 덕양구 화신로272번길 38 2층 204호, 206호",https://map.naver.com/p/entry/place/2071371396?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250730_53%2F17538032104727Eiub_JPEG%2F1000015872.jpg,혼밥,126.8315629,37.6326329,,
93_4,93,경기도,덕양구,경기도 덕양구 맛집,봄담아 고양향동점,샤브샤브,,996,경기 고양시 덕양구 꽃마을로 66 2층,https://map.naver.com/p/entry/place/2022386326?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250721_260%2F1753077514085VVKSz_JPEG%2F%25B9%25CE%25BB%25FD%25C8%25B8%25BA%25B9%25C4%25AB%25B5%25E5.jpg,혼밥,126.8935514,37.6014687,,
93_5,93,경기도,덕양구,경기도 덕양구 맛집,샤브올데이 고양삼송지축점,샤브샤브,,313,경기 고양시 덕양구 삼송로 222,https://map.naver.com/p/entry/place/2053064847?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250602_77%2F1748829665024cL0nO_JPEG%2FKakaoTalk_20250602_105828250.jpg,혼밥,126.8982643,37.6530515,,
93_6,93,경기도,덕양구,경기도 덕양구 맛집,봄담아 고양원당점,샤브샤브,,"1,206",경기 고양시 덕양구 고양대로 1415 2층 C209-C211호,https://map.naver.com/p/entry/place/2099351635?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250721_225%2F1753077488951j3qRo_JPEG%2F%25B9%25CE%25BB%25FD%25C8%25B8%25BA%25B9%25C4%25AB%25B5%25E5.jpg,혼밥,126.8423200,37.6532420,,
93_7,93,경기도,덕양구,경기도 덕양구 맛집,이그조틱 고양화정점,양식,4.7,"5,229",경기 고양시 덕양구 백양로 138-12 1층,https://map.naver.com/p/entry/place/1086688756?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201103_97%2F1604362388117nJ5jJ_JPEG%2F7tq3Njrl8HndMK7xpRz4_Mjp.jpg,혼밥,126.8356230,37.6379230,,
93_8,93,경기도,덕양구,경기도 덕양구 맛집,퍼스트커피랩 주교점,"카페,디저트",,317,경기 고양시 덕양구 마상로140번길 32,https://map.naver.com/p/entry/place/2062366116?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250522_6%2F17478766685537qFWN_JPEG%2F361A1859.jpg,혼밥,126.8370080,37.6582250,,
93_9,93,경기도,덕양구,경기도 덕양구 맛집,포시즌어데이,양식,4.42,"3,153",경기 고양시 덕양구 북한산로 451-9,https://map.naver.com/p/entry/place/1381097317?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240413_263%2F1712989051624gBHcv_JPEG%2F1712988893580.jpg,혼밥,126.9526993,37.6658202,,
93_10,93,경기도,덕양구,경기도 덕양구 맛집,덕이원조국수 일산본점,국수,4.4,"1,857",경기 고양시 덕양구 호국로 1000 덕이원조국수,https://map.naver.com/p/entry/place/1372169975?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fsearch.pstatic.net%2Fcommon%2F%3FautoRotate%3Dtrue%26quality%3D95%26type%3Dw750%26src%3Dhttps%253A%252F%252Fldb-phinf.pstatic.net%252F20241108_29%252F1731028195351RqtRn_JPEG%252FIMG_7922.jpeg,혼밥,126.8509245,37.6714606,,
