storeid,searchid,wide_area,basic_area,keyword,storename,category,rating,review_cnt,address,url,img_url,visit_type,lng,lat,review_participant,honbab_cnt
94_1,94,경기도,일산동구,경기도 일산동구 맛집,DDNB 일산본점,"카페,디저트",,294,경기 고양시 일산동구 정발산로 38 이스턴시티 1층 142호~143호,https://map.naver.com/p/entry/place/1251595303?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250702_145%2F1751434533374zEN72_JPEG%2FKakaoTalk_20250702_143137665.jpg,혼밥,126.7728855,37.6570750,,
94_2,94,경기도,일산동구,경기도 일산동구 맛집,포레스트아웃팅스,"카페,디저트",4.43,"21,387",경기 고양시 일산동구 고양대로 1124 포레스트 아웃팅스,https://map.naver.com/p/entry/place/1942078677?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250612_217%2F1749700662649qfxKb_JPEG%2F1.jpg,혼밥,126.8137511,37.6659334,,
94_3,94,경기도,일산동구,경기도 일산동구 맛집,늘상웨돔,양식,4.62,"2,703",경기 고양시 일산동구 중앙로1261번길 57 대명레이크프라자 1차 2층 206호,https://map.naver.com/p/entry/place/1141576407?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250704_286%2F1751624962504rftl5_PNG%2F%25B4%25C3%25BB%25F3%25B4%25EB%25C7%25A5%25BB%25E7%25C1%25F81.png,혼밥,126.7707279,37.6571989,,
94_4,94,경기도,일산동구,경기도 일산동구 맛집,청담한식 식사점,한정식,,"1,182","경기 고양시 일산동구 무궁화로 370 1, 2층",https://map.naver.com/p/entry/place/1066752508?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240507_199%2F1715055805208IjlCN_JPEG%2FIMG_0439.JPG,혼밥,126.8009770,37.6768770,,
94_5,94,경기도,일산동구,경기도 일산동구 맛집,지아코모87 밤리단길점,이탈리아음식,,"1,030",경기 고양시 일산동구 산두로 167-17 1층,https://map.naver.com/p/entry/place/1254553785?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20250106_56%2F1736156417252im8pP_JPEG%2F%25B8%25C5%25C0%25E5%25C0%25D4%25B1%25B82.jpg,혼밥,126.7831601,37.6716882,,
94_6,94,경기도,일산동구,경기도 일산동구 맛집,백석대장군,"육류,고기요리",4.46,"1,024",경기 고양시 일산동구 강송로73번길 54-5 1층,https://map.naver.com/p/entry/place/1702907616?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240219_133%2F17083120201908tafQ_JPEG%2F%25B4%25EB%25C7%25A5%25BB%25E7%25C1%25F85.jpg,혼밥,126.7873905,37.6448409,,
94_7,94,경기도,일산동구,경기도 일산동구 맛집,젠코리안비비큐 일산점,"육류,고기요리",,532,"경기 고양시 일산동구 정발산로 24 A-201, 202호",https://map.naver.com/p/entry/place/2020781389?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250724_173%2F1753335181792yXr3O_JPEG%2FKakaoTalk_20250620_153629910_07.jpg,혼밥,126.7730071,37.6555237,,
94_8,94,경기도,일산동구,경기도 일산동구 맛집,조르노피자 밤리단길본점,피자,,"2,299",경기 고양시 일산동구 율천로8번길 23-2 1층 조르노피자,https://map.naver.com/p/entry/place/1332405375?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230406_98%2F1680744464733WfJAw_JPEG%2F%25C0%25CF%25BB%25EA_%25C8%25AD%25B4%25F6%25C7%25C7%25C0%25DA.jpg,혼밥,126.7846980,37.6653208,,
94_9,94,경기도,일산동구,경기도 일산동구 맛집,만돈,돈가스,4.55,"16,992",경기 고양시 일산동구 정발산로 24 웨스턴돔 B동 2층 225호,https://map.naver.com/p/entry/place/1668099459?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240709_209%2F1720522589722PdtT2_JPEG%2F1L1A7589.jpg,혼밥,126.7735396,37.6545838,,
94_10,94,경기도,일산동구,경기도 일산동구 맛집,참솥 백석점,한식,,"1,006","경기 고양시 일산동구 중앙로 1079 118, 119호",https://map.naver.com/p/entry/place/1342981831?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250715_248%2F1752545420297XxVCP_JPEG%2F1000034912.jpg,혼밥,126.7851358,37.6450939,,
