storeid,searchid,wide_area,basic_area,keyword,storename,category,rating,review_cnt,address,url,img_url,visit_type,lng,lat,review_participant,honbab_cnt
95_1,95,경기도,일산서구,경기도 일산서구 맛집,솥내음 일산킨텍스점,한식,,"1,496",경기 고양시 일산서구 킨텍스로 171 2층,https://map.naver.com/p/entry/place/2017586094?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250728_30%2F17536960338961x5gT_JPEG%2F078A6103.jpg,혼밥,126.7433059,37.6620170,,
95_2,95,경기도,일산서구,경기도 일산서구 맛집,스시온더레일 일산가로수길 본점,"초밥,롤",,"1,737",경기 고양시 일산서구 주엽로 80 E동 202호,https://map.naver.com/p/entry/place/1967937597?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240304_244%2F1709537071078Icf8V_JPEG%2F698.JPG,혼밥,126.7565162,37.6666572,,
95_3,95,경기도,일산서구,경기도 일산서구 맛집,샤브뜰 일산덕이점,샤브샤브,,632,경기 고양시 일산서구 하이파크2로 79-1 가동 2층 203호,https://map.naver.com/p/entry/place/1162484387?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250410_236%2F1744291912300TQXSO_JPEG%2FKakaoTalk_20250404_114025168.jpg,혼밥,126.7579149,37.6993700,,
95_4,95,경기도,일산서구,경기도 일산서구 맛집,아쿠아가든 일산,"카페,디저트",,"2,846",경기 고양시 일산서구 일중로 9 아쿠아가든 일산,https://map.naver.com/p/entry/place/1209562743?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250220_174%2F1739983749912TNcog_PNG%2FKakaoTalk_20250220_014710444.png,혼밥,126.7739617,37.6809490,,
95_5,95,경기도,일산서구,경기도 일산서구 맛집,꾼돈숯불갈비 일산덕이점,"육류,고기요리",,193,경기 고양시 일산서구 덕산로 321 1층,https://map.naver.com/p/entry/place/2014129691?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250625_195%2F1750828624084cWQ2l_JPEG%2F0.jpg,혼밥,126.7383161,37.6973316,,
95_6,95,경기도,일산서구,경기도 일산서구 맛집,스퀘어81,"카페,디저트",,"1,839",경기 고양시 일산서구 중앙로 1371 뉴서울프라자 3층,https://map.naver.com/p/entry/place/1217351504?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221124_89%2F1669280460841BeKDT_JPEG%2F%25C5%25A9%25B1%25E2%25BA%25AF%25C8%25AFKO1_0805.jpg,혼밥,126.7664798,37.6669696,,
95_7,95,경기도,일산서구,경기도 일산서구 맛집,도원반점 일산킨텍스점,중식당,,731,경기 고양시 일산서구 킨텍스로 240 킨텍스꿈에그린 지하1층 124호,https://map.naver.com/p/entry/place/2090357591?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250805_177%2F1754401452939LMAUO_JPEG%2FP20250802_120030891_D649D0E8-7BD8-43CE-9E4B-207D87EF586D.JPG,혼밥,126.7500801,37.6661189,,
95_8,95,경기도,일산서구,경기도 일산서구 맛집,청담추어정,추어탕,4.4,"5,125",경기 고양시 일산서구 경의로 932,https://map.naver.com/p/entry/place/13137322?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180730_130%2F1532932825379VNuER_JPEG%2Fb3ntg4aIxRjUGoPTMNOQ9uAK.jpg,혼밥,126.7597112,37.7006573,,
95_9,95,경기도,일산서구,경기도 일산서구 맛집,이니야 일산본점,"스파게티,파스타전문",,"1,551",경기 고양시 일산서구 고양대로 717,https://map.naver.com/p/entry/place/1377288235?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fsearch.pstatic.net%2Fcommon%2F%3FautoRotate%3Dtrue%26quality%3D95%26type%3Dw750%26src%3Dhttps%253A%252F%252Fldb-phinf.pstatic.net%252F20231221_168%252F1703141724643NLfzd_JPEG%252FIMG_4500.jpeg,혼밥,126.7760650,37.6834430,,
95_10,95,경기도,일산서구,경기도 일산서구 맛집,소코아 킨텍스가로수길점,카레,,83,경기 고양시 일산서구 주엽로 80 D123호,https://map.naver.com/p/entry/place/2032430374?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250602_148%2F1748833129036MiVVx_JPEG%2FKakaoTalk_20250530_122438380_03.jpg,혼밥,126.7575046,37.6651711,,
