storeid,searchid,wide_area,basic_area,keyword,storename,category,rating,review_cnt,address,url,img_url,visit_type,lng,lat,review_participant,honbab_cnt
93_1,93,경기도,덕양구,경기도 덕양구 숙소,어반이스트 호텔,3급,,189,경기 고양시 덕양구 고양대로 1725 어반이스트 호텔,https://map.naver.com/p/entry/place/1037430960?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220208_4%2F1644296717523IDNAj_JPEG%2FP__MG_6233-HDR.jpg,혼숙,126.8740428,37.6483216,,
93_2,93,경기도,덕양구,경기도 덕양구 숙소,호텔 더 윈,2성급,4.63,460,경기 고양시 덕양구 원흥3로 6-14 호텔 더 윈,https://map.naver.com/p/entry/place/1314670237?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200908_184%2F15995314457429tX8t_JPEG%2FZQBEQcTXiD_Xap2A7JWDYEcP.jpg,혼숙,126.8752658,37.6477746,,
93_3,93,경기도,덕양구,경기도 덕양구 숙소,북한산 사기막야영장,"캠핑,야영장",,42,경기 고양시 덕양구 북한산로618번길 130,https://map.naver.com/p/entry/place/1069441862?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240328_207%2F1711587818790vjpBw_JPEG%2F%25BB%25E7%25B1%25E2%25B8%25B7_%25BE%25DF%25BF%25B5%25C0%25E5_%25BE%25C8%25B3%25BB%25B5%25B5.jpg,혼숙,126.9670554,37.6760490,,
93_4,93,경기도,덕양구,경기도 덕양구 숙소,케이하우스,펜션,4.82,178,경기 고양시 덕양구 북한산로387번길 103,https://map.naver.com/p/entry/place/37033465?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250629_89%2F1751137922625gchzT_JPEG%2F1000011526.jpg,혼숙,126.9508671,37.6648743,,
93_5,93,경기도,덕양구,경기도 덕양구 숙소,고양호텔유지,2급,,154,경기 고양시 덕양구 충장로 23 호텔 유지,https://map.naver.com/p/entry/place/1092857368?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220325_66%2F1648215647950QpC7b_PNG%2FYUJI%25C6%25F9%25C6%25AE%25BB%25F9%25C7%25C3_%25C3%25D6%25C1%25BE_1.png,혼숙,126.8340398,37.6149650,,
93_6,93,경기도,덕양구,경기도 덕양구 숙소,서삼릉청소년야영장,"캠핑,야영장",4.27,987,경기 고양시 덕양구 서삼릉길 107-62,https://map.naver.com/p/entry/place/13419378?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250731_46%2F1753939959201YNjUI_JPEG%2F2025%25B3%25E2_9%25BF%25F9_%25C4%25B6%25B8%25B0%25B4%25F5.jpg,혼숙,,,,
93_7,93,경기도,덕양구,경기도 덕양구 숙소,스테이월호텔,2급,4.12,110,경기 고양시 덕양구 고양대로 1323 스테이월 호텔,https://map.naver.com/p/entry/place/38491538?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250217_86%2F1739779821091pnoY7_PNG%2F005.png,혼숙,126.8314527,37.6562069,,
93_8,93,경기도,덕양구,경기도 덕양구 숙소,노블레스 호텔,호텔,,9,경기 고양시 덕양구 마상로134번길 109,https://map.naver.com/p/entry/place/1037067989?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20240702_260%2F1719879854201RnE1m_JPEG%2F01_CZ9A0005-2.jpg,혼숙,126.8335386,37.6559380,,
93_9,93,경기도,덕양구,경기도 덕양구 숙소,북한산농바위캠핑장,"캠핑,야영장",4.37,53,경기 고양시 덕양구 북한산로387번길 180,https://map.naver.com/p/entry/place/1834926269?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181213_270%2F1544690999285rpq7W_JPEG%2FE9IFGAapLMHRbsrIvbu7wJJj.jpg,혼숙,126.9499523,37.6675455,,
93_10,93,경기도,덕양구,경기도 덕양구 숙소,페이지호텔,3급,,29,경기 고양시 덕양구 화신로 271 페이지호텔,https://map.naver.com/p/entry/place/1645824076?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230314_150%2F1678793380075V7VVR_JPEG%2F__%25282%2529.jpg,혼숙,126.8312411,37.6308388,,
