storeid,searchid,wide_area,basic_area,keyword,storename,category,rating,review_cnt,address,url,img_url,visit_type,lng,lat,review_participant,honbab_cnt
12_1,12,서울특별시,은평구,서울특별시 은평구 숙소,서울북한산럭셔리카라반&수영장글램핑,"캠핑,야영장",4.73,"7,018",서울 은평구 북한산로 232-1,https://map.naver.com/p/entry/place/38509343?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20250715_172%2F1752544204554aClka_PNG%2Fimage.png,혼숙,126.9374323,37.6510643,,
12_2,12,서울특별시,은평구,서울특별시 은평구 숙소,북한산둘레캠프,"캠핑,야영장",,972,서울 은평구 연서로 608-2,https://map.naver.com/p/entry/place/1848741171?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230129_234%2F1674958550961GOsFy_PNG%2F005.png,혼숙,126.9393170,37.6473630,,
12_3,12,서울특별시,은평구,서울특별시 은평구 숙소,앵봉산가족캠핑장,"캠핑,야영장",,6,서울 은평구 통일로 1055,https://map.naver.com/p/entry/place/1577907888?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240418_122%2F1713399795014o9P9J_PNG%2FKakaoTalk_20240411_153739244.png,혼숙,126.9147578,37.6356780,,
12_4,12,서울특별시,은평구,서울특별시 은평구 숙소,브릭스관광호텔,2성급,4.33,110,서울 은평구 은평로8길 1 은평브릭스관광호텔,https://map.naver.com/p/entry/place/38642501?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200722_40%2F1595392288904JLmMP_PNG%2F%25BA%25EA%25B8%25AF%25BD%25BA.png,혼숙,126.9210889,37.6001864,,
12_5,12,서울특별시,은평구,서울특별시 은평구 숙소,CS AVENUE호텔,2성급,4.34,195,서울 은평구 통일로 585-1,https://map.naver.com/p/entry/place/36028451?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221209_154%2F1670568617921HFg6O_PNG%2F1._%25B8%25DE%25C0%25CE.png,혼숙,126.9368401,37.5992184,,
12_6,12,서울특별시,은평구,서울특별시 은평구 숙소,채효당 한옥스테이,게스트하우스,4.97,152,서울 은평구 진관길 11-30 은평한옥마을 채효당,https://map.naver.com/p/entry/place/1472753623?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250712_291%2F1752301962355nLtY0_JPEG%2F1000045206.jpg,혼숙,126.9398480,37.6431300,,
12_7,12,서울특별시,은평구,서울특별시 은평구 숙소,불광 포레스타호텔,2성급,,50,서울 은평구 진흥로 179 불광 포레스타호텔,https://map.naver.com/p/entry/place/1803534909?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250218_23%2F17398402406488Mjwk_PNG%2F001.png,혼숙,126.9294732,37.6084599,,
12_8,12,서울특별시,은평구,서울특별시 은평구 숙소,예맥당 한옥스테이,펜션,,58,서울 은평구 연서로50길 11 2층,https://map.naver.com/p/entry/place/1552649725?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250224_139%2F1740403995296HdRuc_JPEG%2FKakaoTalk_20250224_222959995_01.jpg,혼숙,126.9390110,37.6406815,,
12_9,12,서울특별시,은평구,서울특별시 은평구 숙소,호텔디아티스트 연신내점,2성급,4.29,165,서울 은평구 통일로 891,https://map.naver.com/p/entry/place/1229801078?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241010_188%2F1728533677948AkWci_JPEG%2F001.jpg,혼숙,126.9196920,37.6224900,,
12_10,12,서울특별시,은평구,서울특별시 은평구 숙소,인휴당 한옥펜션,펜션,,21,서울 은평구 연서로50길 7-10,https://map.naver.com/p/entry/place/1418352892?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230518_204%2F1684382388686Jrx13_JPEG%2Fbg_image.jpg,혼숙,126.9391270,37.6414230,,
12_11,12,서울특별시,은평구,서울특별시 은평구 숙소,한려옥레지던스호텔,호텔,,1,서울 은평구 연서로18길 3-17,https://map.naver.com/p/entry/place/21783252?placePath=%2Fhome,,혼숙,126.9179727,37.6133166,,
12_12,12,서울특별시,은평구,서울특별시 은평구 숙소,샤인힐모텔,모텔,3.69,49,서울 은평구 통일로 855-14,https://map.naver.com/p/entry/place/33889348?placePath=%2Fhome,,혼숙,126.9198395,37.6193895,,
