storeid,searchid,wide_area,basic_area,keyword,storename,category,rating,review_cnt,address,url,img_url,visit_type,lng,lat,review_participant,honbab_cnt
95_1,95,경기도,일산서구,경기도 일산서구 숙소,킨텍스 바이 케이트리,3급,4.44,232,경기 고양시 일산서구 킨텍스로 255-3,https://map.naver.com/p/entry/place/1604145398?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241230_40%2F1735526376972IYDaj_JPEG%2F%25B4%25EB%25C7%25A5%25BB%25E7%25C1%25F8.jpg,혼숙,126.7482065,37.6686980,,
95_2,95,경기도,일산서구,경기도 일산서구 숙소,킨텍스캠핑장,"캠핑,야영장",,2,경기 고양시 일산서구 킨텍스로 217-25,https://map.naver.com/p/entry/place/49308022?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200516_110%2F1589599894641GYiXG_JPEG%2FsJtrSjb1WVJjcwoawpdu76fO.jpg,혼숙,126.7387498,37.6645047,,
95_3,95,경기도,일산서구,경기도 일산서구 숙소,호텔그라체 탄현점,2급,,518,경기 고양시 일산서구 산현로17번길 7-30 지하1층~7층,https://map.naver.com/p/entry/place/1432717168?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20230517_2%2F1684284421573Ovw6n_PNG%2F1._%25B8%25DE%25C0%25CE.png,혼숙,126.7626380,37.6900820,,
95_4,95,경기도,일산서구,경기도 일산서구 숙소,일산 라트리 호텔,모텔,3.79,38,경기 고양시 일산서구 중앙로 1560-22,https://map.naver.com/p/entry/place/37801544?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190919_162%2F1568866766713PDtTI_JPEG%2F1442198.JPG,혼숙,126.7482486,37.6764719,,
95_5,95,경기도,일산서구,경기도 일산서구 숙소,아비숑호텔 일산킨텍스점,모텔,4.42,58,경기 고양시 일산서구 중앙로 1559-23,https://map.naver.com/p/entry/place/18411484?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250323_19%2F1742660500951LaqHP_PNG%2F%25BE%25C6%25BA%25F1%25BC%25F5_%25B3%25D7%25C0%25CC%25B9%25F6_%25BA%25ED%25B7%25E7.png,혼숙,126.7472795,37.6751567,,
95_6,95,경기도,일산서구,경기도 일산서구 숙소,호텔밀레니엄,3급,,24,경기 고양시 일산서구 주화로 190,https://map.naver.com/p/entry/place/1789624653?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221106_16%2F16677437963353DHVt_JPEG%2F%25C8%25A3%25C5%25DA_%25BF%25DC%25B0%25FC.jpg,혼숙,126.7482367,37.6747322,,
95_7,95,경기도,일산서구,경기도 일산서구 숙소,더휴식 아늑호텔 일산탄현점,3급,,7,경기 고양시 일산서구 일현로41번길 8-32,https://map.naver.com/p/entry/place/1427901673?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250619_139%2F1750297127480lulRh_PNG%2F026.png,혼숙,126.7621986,37.6922806,,
95_8,95,경기도,일산서구,경기도 일산서구 숙소,신트라호텔,모텔,4.28,69,경기 고양시 일산서구 중앙로 1559-15,https://map.naver.com/p/entry/place/18413122?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201014_72%2F1602667938399uKcvB_PNG%2F%25C7%25C1%25B7%25B1%25C6%25AE3-201014.png,혼숙,126.7476188,37.6750071,,
95_9,95,경기도,일산서구,경기도 일산서구 숙소,리치호텔,3급,4.13,96,경기 고양시 일산서구 강성로 249,https://map.naver.com/p/entry/place/12879416?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171229_91%2F1514527145420v8OtX_JPEG%2Fu5oehumZ7KQdU0H5w92UTLHm.JPG,혼숙,126.7493253,37.6764347,,
95_10,95,경기도,일산서구,경기도 일산서구 숙소,호텔 클라움,3급,4.07,48,경기 고양시 일산서구 중앙로 1559-11 호텔 클라움,https://map.naver.com/p/entry/place/13069407?placePath=%2Fhome,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220724_214%2F1658649900695Mbds8_JPEG%2F%25C1%25D6%25C2%25F7%25C0%25E5_%25288%2529.jpg,혼숙,126.7478451,37.6749074,,
